similarity_rank,similarity_group,period_label,confidence_tier,entry_date,exit_date,pnl_pct,score,ratio,active_combo,core_overlap_count,binary_hamming_8axes,binary_jaccard_8axes,score_gap_live_minus_past,ratio_gap_live_minus_past
24,d_core_overlap_2_of_3,train_1,C_signal_exact_exit_diff,2023-06-01,2023-06-15,11.46300802,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
25,d_core_overlap_2_of_3,train_2,A_period_exact,2024-05-10,2024-05-24,-5.20451600,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
26,d_core_overlap_2_of_3,train_2,A_period_exact,2024-06-03,2024-06-10,-6.62791111,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
27,d_core_overlap_2_of_3,recent_1y,A_period_exact,2026-05-12,2026-05-27,-13.06722924,2.84723650,1.07273408,RSI+BB+NewsTopics,2,3,0.40000000,5.51600980,2.07822979
28,d_core_overlap_2_of_3,recent_1y,A_period_exact,2025-10-15,2025-10-29,-6.35435654,3.11952454,1.17532221,RSI+BB+NewsTopics,2,3,0.40000000,5.24372176,1.97564166
29,d_core_overlap_2_of_3,train_2,A_period_exact,2023-10-20,2023-10-23,-3.09412774,3.32462576,1.25259681,RSI+BB+NewsTopics,2,3,0.40000000,5.03862054,1.89836706
30,d_core_overlap_2_of_3,train_2,A_period_exact,2023-10-27,2023-10-30,-3.08335146,5.32462576,2.00612332,RSI+BB+NewsTopics,2,3,0.40000000,3.03862054,1.14484055
31,d_core_overlap_2_of_3,recent_1y,A_period_exact,2026-04-14,2026-04-28,-3.04244560,4.12010673,1.55230481,MA+MACD+RSI,2,3,0.40000000,4.24313957,1.59865906
32,d_core_overlap_2_of_3,train_1,B_trade_exact,2022-11-04,2022-11-07,-3.73745341,5.53702289,2.08614675,RSI+BB+NewsTopics,2,3,0.40000000,2.82622341,1.06481712
33,d_core_overlap_2_of_3,train_1,C_signal_exact_exit_diff,2022-11-10,2022-11-17,1.32618107,5.53702289,2.08614675,RSI+BB+NewsTopics,2,3,0.40000000,2.82622341,1.06481712
34,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-03-18,2021-04-01,3.86937677,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
35,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-04-07,2021-04-21,3.38076390,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
36,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-05-13,2021-05-27,1.13998840,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
37,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-06-04,2021-06-14,-6.24363534,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
38,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-08-19,2021-09-02,2.52806207,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
39,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-10-25,2021-11-08,-0.26462726,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
40,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-11-11,2021-11-26,-4.50506262,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
41,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2022-06-02,2022-06-10,-3.36584522,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
42,d_core_overlap_2_of_3,train_1,B_trade_exact,2022-12-15,2022-12-30,-0.85808654,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
43,d_core_overlap_2_of_3,train_1,D_low_partial_or_rerun_only,2023-06-21,2023-06-30,7.33941722,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
44,d_core_overlap_2_of_3,train_2,A_period_exact,2023-07-05,2023-07-19,7.09516984,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
45,d_core_overlap_2_of_3,train_2,A_period_exact,2023-07-24,2023-08-07,-1.69576263,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
46,d_core_overlap_2_of_3,train_2,A_period_exact,2023-08-10,2023-08-16,-7.73151417,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
47,d_core_overlap_2_of_3,train_2,A_period_exact,2023-09-20,2023-09-26,-6.66313499,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
48,d_core_overlap_2_of_3,train_2,A_period_exact,2024-03-14,2024-03-28,9.61538631,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
49,d_core_overlap_2_of_3,train_2,A_period_exact,2024-04-03,2024-04-10,-6.08885703,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
50,d_core_overlap_2_of_3,recent_1y,A_period_exact,2025-07-02,2025-07-15,-1.68630363,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
51,d_core_overlap_2_of_3,recent_1y,A_period_exact,2026-05-01,2026-05-07,-13.23351393,3.80009520,1.43173622,MA+RSI+BB,2,3,0.40000000,4.56315110,1.71922765
52,d_core_overlap_2_of_3,train_2,A_period_exact,2024-02-26,2024-03-11,4.35446926,3.52261770,1.32719290,MA+RSI+BB,2,3,0.40000000,4.84062860,1.82377097
53,d_core_overlap_2_of_3,recent_1y,A_period_exact,2025-09-12,2025-09-25,-14.89608240,4.13610974,1.55833416,RSI+BB+NewsTopics,2,3,0.40000000,4.22713656,1.59262971
54,e_core_overlap_1_of_3,stress_pre_2022h1,B_trade_exact,2022-06-15,2022-06-16,-6.66865343,2.84777635,1.07293748,BB,1,3,0.25000000,5.51546995,2.07802639
55,e_core_overlap_1_of_3,stress_pre_2022h1,B_trade_exact,2022-06-22,2022-06-30,-2.01666716,2.84777635,1.07293748,BB,1,3,0.25000000,5.51546995,2.07802639
56,e_core_overlap_1_of_3,train_1,B_trade_exact,2022-07-06,2022-07-13,-4.85920369,2.84777635,1.07293748,BB,1,3,0.25000000,5.51546995,2.07802639
57,e_core_overlap_1_of_3,train_1,B_trade_exact,2022-07-18,2022-08-01,1.82233909,2.84777635,1.07293748,BB,1,3,0.25000000,5.51546995,2.07802639
58,e_core_overlap_1_of_3,train_1,B_trade_exact,2022-10-03,2022-10-13,-4.74110442,2.84777635,1.07293748,BB,1,3,0.25000000,5.51546995,2.07802639
59,d_core_overlap_2_of_3,train_2,A_period_exact,2024-01-25,2024-02-08,2.14365866,5.71940128,2.15486023,RSI+BB+NewsTopics,2,3,0.40000000,2.64384502,0.99610364
60,d_core_overlap_2_of_3,recent_1y,A_period_exact,2026-03-05,2026-03-19,13.32956615,5.86564545,2.20995966,RSI+BB+NewsTopics,2,3,0.40000000,2.49760085,0.94100421
