generation,best_fitness,avg_top10_fitness,cache_size,best_hash,best_avg_exp,best_min_exp,best_worst_dd_abs,best_total_trades
17,18.079982976736122,17.486709069430333,1459,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
18,18.079982976736122,17.73726454874731,1539,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
19,18.079982976736122,17.859468363932667,1619,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
20,18.079982976736122,18.07528917770194,1699,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
21,18.079982976736122,18.079982976736122,1779,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
22,18.079982976736122,18.079982976736122,1859,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
23,18.079982976736122,18.079982976736122,1939,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
24,18.079982976736122,18.079982976736122,2019,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
25,18.079982976736122,18.079982976736122,2099,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
26,18.079982976736122,18.079982976736122,2179,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
27,18.079982976736122,18.079982976736122,2259,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
28,18.079982976736122,18.079982976736122,2339,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
