best_active_feature_count,best_fitness,best_passed_count,best_precision,best_recall,candidate_id,early_stop,generation,population_avg_fitness,stage,ticker
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,19,-705.2740312899846,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,20,-729.8915351686927,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,21,-778.7974773738742,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,22,-786.038127709467,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,23,-803.8004386126336,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,24,-779.1580837442384,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,25,-746.456135940231,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,26,-794.2534418945911,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,27,-761.7135566422446,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,28,-802.9877224961706,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,29,-737.6321047315955,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,30,-794.5596122101153,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,31,-770.5144944083345,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,32,-640.3914906890442,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,33,-752.0909628851138,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,34,-719.3850840474402,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,35,-760.1198862598019,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,False,36,-769.9944502443373,stage3,ADMA
2,113.55394736842103,8,0.875,0.4666666666666667,stage3:ADMA:42437a3ee595,True,37,-776.502977347488,stage3,ADMA
