base_rate,candidate_id,coverage,lift_pp,mode,passed_count,passed_positive_count,positive_count,precision,recall,regime,signal_count,stage,ticker
0.5483870967741935,stage3:ADMA:42437a3ee595,0.25806451612903225,32.66129032258065,filtered,8,7,17,0.875,0.4117647058823529,stress,31,stage3,ADMA
0.39473684210526316,stage3:ADMA:42437a3ee595,1.0,0.0,baseline,38,15,15,0.39473684210526316,1.0,train,38,stage3,ADMA
0.39473684210526316,stage3:ADMA:42437a3ee595,0.21052631578947367,48.026315789473685,filtered,8,7,15,0.875,0.4666666666666667,train,38,stage3,ADMA
0.391304347826087,stage3:ADMA:42437a3ee595,1.0,0.0,baseline,23,9,9,0.391304347826087,1.0,oos,23,stage3,ADMA
0.391304347826087,stage3:ADMA:42437a3ee595,0.391304347826087,5.314009661835745,filtered,9,4,9,0.4444444444444444,0.4444444444444444,oos,23,stage3,ADMA
0.6585365853658537,stage3:ADPT:78c31f1ca209,1.0,0.0,baseline,41,27,27,0.6585365853658537,1.0,stress,41,stage3,ADPT
0.6585365853658537,stage3:ADPT:78c31f1ca209,0.07317073170731707,0.8130081300812941,filtered,3,2,27,0.6666666666666666,0.07407407407407407,stress,41,stage3,ADPT
0.5862068965517241,stage3:ADPT:78c31f1ca209,1.0,0.0,baseline,58,34,34,0.5862068965517241,1.0,train,58,stage3,ADPT
0.5862068965517241,stage3:ADPT:78c31f1ca209,0.15517241379310345,41.379310344827594,filtered,9,9,34,1.0,0.2647058823529412,train,58,stage3,ADPT
0.625,stage3:ADPT:78c31f1ca209,1.0,0.0,baseline,24,15,15,0.625,1.0,oos,24,stage3,ADPT
0.625,stage3:ADPT:78c31f1ca209,0.08333333333333333,-12.5,filtered,2,1,15,0.5,0.06666666666666667,oos,24,stage3,ADPT
0.42105263157894735,stage3:AEIS:6e26f08a7c6d,1.0,0.0,baseline,19,8,8,0.42105263157894735,1.0,stress,19,stage3,AEIS
0.42105263157894735,stage3:AEIS:6e26f08a7c6d,0.0,-42.10526315789473,filtered,0,0,8,0.0,0.0,stress,19,stage3,AEIS
0.25,stage3:AEIS:6e26f08a7c6d,1.0,0.0,baseline,32,8,8,0.25,1.0,train,32,stage3,AEIS
0.25,stage3:AEIS:6e26f08a7c6d,0.25,50.0,filtered,8,6,8,0.75,0.75,train,32,stage3,AEIS
0.4375,stage3:AEIS:6e26f08a7c6d,1.0,0.0,baseline,16,7,7,0.4375,1.0,oos,16,stage3,AEIS
