ticker,model_hash,origin_train_label,train_start,train_end,seed,generation,best_fitness,mean_fitness,best_passed_count,best_precision,best_recall,best_coverage,best_lift,best_pass_probability,decision_threshold,best_group_thresholds,fitness_stress_passed_count,fitness_stress_precision,fitness_precision_gap,fitness_adjusted_precision,fitness_consistency_penalty_points,fitness_consistency_lambda,generations_run,population,configured_generations,patience,feature_count,group_count,unweighted_group_count,group_between_and,g3_member_percentile_floor,parallel_worker_pid,parallel_worker_count_limit,stress_role,gene_domain_source,fallback_source,lambda_source
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,21,151.8167178314439,-35499.759213980884,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,22,151.8167178314439,-17571.830155047915,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,23,151.8167178314439,-29200.904103716686,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,24,151.8167178314439,-32446.574448921754,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,25,151.8167178314439,-29725.168844631,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,26,151.8167178314439,-23749.928249312245,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",66,0.4090909090909091,0.15757575757575754,0.5193939393939394,10.399999999999997,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,27,152.80777219860127,-31751.886277213507,30,0.5666666666666667,0.2537313432835821,0.11952191235059761,0.299734395750332,0.5666666666666667,0.45,"[3, 3, 2, 2]",59,0.423728813559322,0.14293785310734464,0.5237853107344632,9.433898305084746,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,28,166.70173757001675,-32539.083411630654,20,0.6,0.1791044776119403,0.0796812749003984,0.33306772908366533,0.6,0.45,"[3, 3, 2, 2]",32,0.53125,0.06874999999999998,0.579375,4.537499999999999,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,29,166.70173757001675,-36465.882519058,20,0.6,0.1791044776119403,0.0796812749003984,0.33306772908366533,0.6,0.45,"[3, 3, 2, 2]",32,0.53125,0.06874999999999998,0.579375,4.537499999999999,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,30,181.94435368699857,-22644.175561586242,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,31,181.94435368699857,-22148.534699161504,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,32,181.94435368699857,-28868.526248081733,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,33,181.94435368699857,-36758.41288982862,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,34,181.94435368699857,-34141.24585143174,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,35,181.94435368699857,-43160.64193154328,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,36,181.94435368699857,-47561.7247331898,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,2022-07-01,2023-06-30,1767114315,37,181.94435368699857,-29195.30542863284,20,0.65,0.19402985074626866,0.0796812749003984,0.3830677290836654,0.65,0.45,"[3, 3, 2, 2]",30,0.5666666666666667,0.08333333333333337,0.625,5.500000000000003,0.3,45,100,50,15,14,4,True,True,0.15,610682,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
