ticker,source_path,expected_sha256,actual_sha256,sha_match,ohlcv_rows,ohlcv_first_date,ohlcv_last_date
ANET,data/_system/analysis/ohlc_snapshot_20260707/ANET_ohlcv.csv,981f87e9581dc81663b9760bfe4f71e51f6f5e5eb88386bedab95d5b2e53aab5,981f87e9581dc81663b9760bfe4f71e51f6f5e5eb88386bedab95d5b2e53aab5,True,1526,2020-06-08,2026-07-06
CE,data/_system/analysis/ohlc_snapshot_20260707/CE_ohlcv.csv,0111a303cfd29b72b7c0f3f988d04e579817d24b8a9c11e005f3c88545771150,0111a303cfd29b72b7c0f3f988d04e579817d24b8a9c11e005f3c88545771150,True,1526,2020-06-08,2026-07-06
AEVA,data/_system/analysis/ohlc_snapshot_20260707/AEVA_ohlcv.csv,a77011e70cd23d44dd5cb1d9c3c3601abb32d73481fc4d698777812cc81dd47e,a77011e70cd23d44dd5cb1d9c3c3601abb32d73481fc4d698777812cc81dd47e,True,1526,2020-06-08,2026-07-06
CMC,data/_system/analysis/ohlc_snapshot_20260707/CMC_ohlcv.csv,2b0ee4f169a0788566869c3147395a5557580b8e5beb5debe97c729d7d665d30,2b0ee4f169a0788566869c3147395a5557580b8e5beb5debe97c729d7d665d30,True,1526,2020-06-08,2026-07-06
AA,data/_system/analysis/ohlc_snapshot_20260707/AA_ohlcv.csv,77b995ba5d6bfcb2326fd994339387a32b1549c74c4b42faf8b0966b82ced421,77b995ba5d6bfcb2326fd994339387a32b1549c74c4b42faf8b0966b82ced421,True,1526,2020-06-08,2026-07-06
CAMT,data/_system/analysis/ohlc_snapshot_20260707/CAMT_ohlcv.csv,13036e5af55bf0ddbf841c2cdb960dbe1b276a335e84a64136cc53daea0da04a,13036e5af55bf0ddbf841c2cdb960dbe1b276a335e84a64136cc53daea0da04a,True,1526,2020-06-08,2026-07-06
CIEN,data/_system/analysis/ohlc_snapshot_20260707/CIEN_ohlcv.csv,6227be39b5bf6f1ee55bd7d58099f3b9570ad173152bb74713433cad4c20bc2f,6227be39b5bf6f1ee55bd7d58099f3b9570ad173152bb74713433cad4c20bc2f,True,1526,2020-06-08,2026-07-06
COHR,data/_system/analysis/ohlc_snapshot_20260707/COHR_ohlcv.csv,5fc6dd919ce4922a9c1fd19ea12894a36f03f9e7b2e04e6c0fcf6eee3c0f9e6e,5fc6dd919ce4922a9c1fd19ea12894a36f03f9e7b2e04e6c0fcf6eee3c0f9e6e,True,1526,2020-06-08,2026-07-06
MPC,data/_system/analysis/ohlc_snapshot_20260707/MPC_ohlcv.csv,c543515ff1ff2bad7a1406d8d1386d3b5eb5495201bf7b3e5f02594b86b61f3f,c543515ff1ff2bad7a1406d8d1386d3b5eb5495201bf7b3e5f02594b86b61f3f,True,1526,2020-06-08,2026-07-06
ABEV,data/_system/analysis/ohlc_snapshot_20260707/ABEV_ohlcv.csv,156cfc4e84711dba6c3cc14448587a96635d174bf3f88111a8312019cb854f73,156cfc4e84711dba6c3cc14448587a96635d174bf3f88111a8312019cb854f73,True,1526,2020-06-08,2026-07-06
CAN,data/_system/analysis/ohlc_snapshot_20260707/CAN_ohlcv.csv,17dd3e477f1de4d6c65e9dd2949f0b6dc5c6793e0566f24c365ba0e1c8613445,17dd3e477f1de4d6c65e9dd2949f0b6dc5c6793e0566f24c365ba0e1c8613445,True,1526,2020-06-08,2026-07-06
BMI,data/_system/analysis/ohlc_snapshot_20260707/BMI_ohlcv.csv,f0540705d474d8efa285d14b7f75791a94242b6f7fa52b5bcf5ef900a5165425,f0540705d474d8efa285d14b7f75791a94242b6f7fa52b5bcf5ef900a5165425,True,1526,2020-06-08,2026-07-06
AAOI,data/_system/analysis/ohlc_snapshot_20260707/AAOI_ohlcv.csv,d5f99a94a6cbf97e2440c1e8d0f6f8981f10a3496ee15e0a3efc0196a1c5ec8b,d5f99a94a6cbf97e2440c1e8d0f6f8981f10a3496ee15e0a3efc0196a1c5ec8b,True,1526,2020-06-08,2026-07-06
C,data/_system/analysis/ohlc_snapshot_20260707/C_ohlcv.csv,f582ab3ea665c84d53934ce9e67b96ba3efcc4742a7cd2f04aedd25ef5c03f52,f582ab3ea665c84d53934ce9e67b96ba3efcc4742a7cd2f04aedd25ef5c03f52,True,1526,2020-06-08,2026-07-06
BCS,data/_system/analysis/ohlc_snapshot_20260707/BCS_ohlcv.csv,4e763c015c26746ec87c6746779652eee454ab73dac89e8a42021e02e2446dd9,4e763c015c26746ec87c6746779652eee454ab73dac89e8a42021e02e2446dd9,True,1526,2020-06-08,2026-07-06
CRMD,data/_system/analysis/ohlc_snapshot_20260707/CRMD_ohlcv.csv,713bf07276577b67ab841f048d020b8d23fd8e1ba1509383208ab0ddeeaa1c15,713bf07276577b67ab841f048d020b8d23fd8e1ba1509383208ab0ddeeaa1c15,True,1526,2020-06-08,2026-07-06
APA,data/_system/analysis/ohlc_snapshot_20260707/APA_ohlcv.csv,a919ef43a562604810b5ac5280593907196e73f2b406029f27621017e692e1fe,a919ef43a562604810b5ac5280593907196e73f2b406029f27621017e692e1fe,True,1526,2020-06-08,2026-07-06
POWI,data/_system/analysis/ohlc_snapshot_20260707/POWI_ohlcv.csv,bd683b376899ff9784eb86a807bd154f74502c8f0bb025ceb120b3e16b8fb400,bd683b376899ff9784eb86a807bd154f74502c8f0bb025ceb120b3e16b8fb400,True,1526,2020-06-08,2026-07-06
ARKG,data/_system/analysis/ohlc_snapshot_20260707/ARKG_ohlcv.csv,0cdce8d278e6d811d548609702d610e953730b8b9f8563adee8b682308cf0fd4,0cdce8d278e6d811d548609702d610e953730b8b9f8563adee8b682308cf0fd4,True,1526,2020-06-08,2026-07-06
CDE,data/_system/analysis/ohlc_snapshot_20260707/CDE_ohlcv.csv,32489aef11cd4fdff46307a9b14ed02d86d9c61dc26946828032fdc07f01504f,32489aef11cd4fdff46307a9b14ed02d86d9c61dc26946828032fdc07f01504f,True,1526,2020-06-08,2026-07-06
BELFB,data/_system/analysis/ohlc_snapshot_20260707/BELFB_ohlcv.csv,15abcfb580b62f2bd3f0fcfd543146685bf0f1ac3fa779743c2b3f6a11d960a2,15abcfb580b62f2bd3f0fcfd543146685bf0f1ac3fa779743c2b3f6a11d960a2,True,1526,2020-06-08,2026-07-06
CAT,data/_system/analysis/ohlc_snapshot_20260707/CAT_ohlcv.csv,0079d73186df98700e726786aa343c9865f0290636db709f6f85e418229afbd5,0079d73186df98700e726786aa343c9865f0290636db709f6f85e418229afbd5,True,1526,2020-06-08,2026-07-06
