all_feature_and,bilateral,domain_max_train,domain_min_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,ticker,width_norm
True,True,21.163645858019777,-15.316315418937752,True,2,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.976998976700863,20.32456941873686,0.17905181510501064,-8.784512137338005,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.7979471615958523
True,True,21.163645858019777,-15.316315418937752,True,4,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.823395521885258,14.721121335056694,0.012590734146624968,-14.857005924820406,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.8108047877386331
True,True,21.350578456810982,-30.212232421807983,True,3,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.8508851723594738,13.661798799984666,0.10921247904156961,-24.58093001940239,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.7416726933179042
True,True,5.0,0.0,True,4,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.6706686134444138,3.3533430672220685,0.2968688540622136,1.4843442703110679,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.37379975938220017
True,True,4.0,0.0,True,2,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,1.0,4.0,0.04630857326572415,0.1852342930628966,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.9536914267342759
True,True,1.0,0.0,True,7,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.9385019269368475,0.9385019269368475,0.24063752285054205,0.24063752285054205,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.6978644040863055
True,True,44.5182665307958,0.0,True,4,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.43759331657473793,19.480895899369088,0.15290970342348617,6.807274932151696,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.2846836131512518
True,True,21.163645858019777,-2.4408825822578084,True,2,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.9896355815322418,20.918998647530643,0.10909372068240712,0.13422325024576942,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.8805418608498348
True,True,28.569650338482298,0.0,True,3,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.8629491432399238,24.6541552822575,0.00662665846672017,0.18932131530673849,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.8563224847732036
True,True,19.259077952043132,-13.106086133918582,True,2,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.6230305012722896,7.058398270318053,0.31592845758514077,-2.881009764750706,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,AEIS,0.3071020436871489
