base_rate,coverage,decision_threshold,gate_fail_reasons,lift_pp,model_hash,pass_probability,passed_count,passed_gate,passed_positive_count,positive_count,precision,precision_floor,recall,regime,sample_floor,signal_count,survivor,ticker
0.6785714285714286,0.015873015873015872,0.6312649800266311,"[""passed_count<8""]",7.14285714285714,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0.8095238095238095,4,False,3,171,0.75,0.7085714285714286,0.017543859649122806,oos,8,252,False,ACMR
0.30492676431424764,0.02796271637816245,0.45,[],26.650180711432377,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0.5714285714285714,21,True,12,229,0.5714285714285714,0.45,0.05240174672489083,train,20,751,False,CARR
0.32427184466019415,0.03300970873786408,0.45,[],20.51399200456882,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0.5714285714285714,17,True,9,167,0.5294117647058824,0.4214285714285714,0.05389221556886228,stress,8,515,False,CARR
0.34523809523809523,0.05555555555555555,0.45,"[""precision<0.4214""]",1.1904761904761918,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0.5714285714285714,14,False,5,87,0.35714285714285715,0.4214285714285714,0.05747126436781609,oos,8,252,False,CARR
0.5166444740346205,0.02929427430093209,0.5966444740346205,[],34.69918896017431,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0.8636363636363636,22,True,19,388,0.8636363636363636,0.5966444740346205,0.04896907216494845,train,20,751,False,CRK
0.5650485436893203,0.027184466019417475,0.5966444740346205,"[""precision<0.7136""]",0.638002773925106,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0.8636363636363636,14,False,8,291,0.5714285714285714,0.7136363636363636,0.027491408934707903,stress,8,515,False,CRK
0.5238095238095238,0.031746031746031744,0.5966444740346205,[],22.619047619047617,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0.8636363636363636,8,True,6,132,0.75,0.7136363636363636,0.045454545454545456,oos,8,252,False,CRK
0.5126498002663116,0.02663115845539281,0.5926498002663115,[],33.73501997336884,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0.85,20,True,17,385,0.85,0.5926498002663115,0.04415584415584416,train,20,751,False,CLDX
0.6155339805825243,0.03300970873786408,0.5926498002663115,[],9.034837235865222,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0.85,17,True,12,317,0.7058823529411765,0.7,0.03785488958990536,stress,8,515,False,CLDX
0.5595238095238095,0.011904761904761904,0.5926498002663115,"[""passed_count<8"", ""precision<0.7000""]",10.71428571428571,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0.85,3,False,2,141,0.6666666666666666,0.7,0.014184397163120567,oos,8,252,False,CLDX
