ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,label_2d3pct,status
AEVA,2023-07-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-07-21,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-07-24,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-07-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-07-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-07-27,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-07-28,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-07-31,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-01,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-02,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-04,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-07,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-08,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-09,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-11,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-15,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-16,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-17,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-18,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-21,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-22,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-23,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-24,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-08-28,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-29,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-30,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-08-31,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-06,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-07,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-11,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-13,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-14,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-15,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-18,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-19,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-21,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-22,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-09-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-27,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-28,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-09-29,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-02,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-04,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-09,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-11,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-13,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-16,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-17,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-18,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-19,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-23,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-24,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-10-25,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-26,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-27,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-30,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-10-31,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-02,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-09,train,True,True,D-1,0,ELIGIBLE
AEVA,2023-11-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2023-11-13,train,True,True,D-1,1,ELIGIBLE
