ticker,regime,sample_count,positive_count,negative_count,positive_rate,label_definition
CAN,train,751,443,308,0.5898801597869507,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAPR,oos,252,135,117,0.5357142857142857,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAPR,stress,515,298,217,0.5786407766990291,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAPR,train,751,434,317,0.5778961384820239,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CARR,oos,252,87,165,0.34523809523809523,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CARR,stress,515,167,348,0.32427184466019415,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CARR,train,751,229,522,0.30492676431424764,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAT,oos,252,102,150,0.40476190476190477,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAT,stress,515,152,363,0.29514563106796116,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAT,train,751,202,549,0.26897470039946736,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CBRL,oos,252,120,132,0.47619047619047616,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CBRL,stress,515,180,335,0.34951456310679613,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CBRL,train,751,325,426,0.43275632490013316,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CCL,oos,252,101,151,0.4007936507936508,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CCL,stress,515,246,269,0.47766990291262135,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CCL,train,751,386,365,0.5139813581890812,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CDE,oos,252,153,99,0.6071428571428571,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CDE,stress,515,286,229,0.5553398058252427,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CDE,train,751,418,333,0.5565912117177098,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CE,oos,252,120,132,0.47619047619047616,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CE,stress,515,159,356,0.3087378640776699,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CE,train,751,275,476,0.36617842876165113,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CEF,oos,252,79,173,0.3134920634920635,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CEF,stress,515,59,456,0.1145631067961165,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CEF,train,751,83,668,0.11051930758988016,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CIEN,oos,252,167,85,0.6626984126984127,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CIEN,stress,515,142,373,0.2757281553398058,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CIEN,train,751,288,463,0.38348868175765644,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLDX,oos,252,141,111,0.5595238095238095,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLDX,stress,515,317,198,0.6155339805825243,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLDX,train,751,385,366,0.5126498002663116,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLF,oos,252,145,107,0.5753968253968254,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLF,stress,515,290,225,0.5631067961165048,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CLF,train,751,339,412,0.45139813581890814,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CMC,oos,252,105,147,0.4166666666666667,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CMC,stress,515,242,273,0.46990291262135925,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CMC,train,751,261,490,0.34753661784287615,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
COHR,oos,252,175,77,0.6944444444444444,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
COHR,stress,515,247,268,0.4796116504854369,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
COHR,train,751,389,362,0.5179760319573902,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRK,oos,252,132,120,0.5238095238095238,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRK,stress,515,291,224,0.5650485436893203,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRK,train,751,388,363,0.5166444740346205,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRMD,oos,252,141,111,0.5595238095238095,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRMD,stress,515,270,245,0.5242718446601942,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRMD,train,751,415,336,0.5525965379494008,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRS,oos,252,125,127,0.49603174603174605,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRS,stress,515,268,247,0.5203883495145631,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CRS,train,751,377,374,0.5019973368841545,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CSIQ,oos,252,156,96,0.6190476190476191,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CSIQ,stress,515,289,226,0.5611650485436893,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CSIQ,train,751,376,375,0.5006657789613849,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
MPC,oos,252,105,147,0.4166666666666667,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
MPC,stress,515,243,272,0.47184466019417476,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
MPC,train,751,274,477,0.3648468708388815,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
POWI,oos,252,123,129,0.4880952380952381,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
POWI,stress,515,189,326,0.36699029126213595,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
POWI,train,751,286,465,0.3808255659121172,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
STLD,oos,252,112,140,0.4444444444444444,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
STLD,stress,515,229,286,0.4446601941747573,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
STLD,train,751,308,443,0.41011984021304926,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALL_50,oos,12600,6319,6281,0.5015079365079365,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALL_50,stress,25750,11471,14279,0.4454757281553398,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALL_50,train,37550,16476,21074,0.43877496671105193,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
