all_min_width_pass,bilateral_gene_pass,model_hash,near_full_gene_count,oos_precision,origin_train_label,stress_precision,strict_all_feature_and,survivor,thin_sample_rejected,ticker,train_precision,train_to_oos_precision_gap,train_to_stress_precision_gap,weighted_sum_path_present,symbol_hhi_oos_passed_count,candidate_count,survivor_candidate_count,survivor_symbol_count,worker_error_count,configured_workers,observed_unique_worker_pids,previous_oos_whipsaw_mean,current_oos_target_tp_off_whipsaw_mean
True,True,2ad368c858f9b5e22836cda406bc8ae1560e957e2c2eb30f1a1b3f47170a6c6d,0,0.15,train_3,0.2916666666666667,True,False,False,BN,0.65,0.5,0.35833333333333334,False,,,,,,,,,
True,True,9d8f806b48c8b9d85cade44086064434dd6812667fa2fb79283e3d03c58ddaf5,0,0.8888888888888888,train_1,0.5813953488372093,True,False,False,ACMR,0.85,-0.03888888888888886,0.26860465116279064,False,,,,,,,,,
True,True,ebfda4b1807d4da57d8bd7983b9dd465103cbaef692c0e2eccd1f4c690ee5691,0,0.75,train_2,0.6129032258064516,True,False,False,ACMR,0.8,0.050000000000000044,0.18709677419354842,False,,,,,,,,,
True,True,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0.8888888888888888,train_3,0.5,True,False,False,ACMR,0.95,0.061111111111111116,0.44999999999999996,False,,,,,,,,,
True,True,8c96273b62a5e8b13bd22b4503adff690476d5317e420c000958ef970d2401d7,0,0.25,train_1,0.3333333333333333,True,False,False,CARR,0.75,0.5,0.4166666666666667,False,,,,,,,,,
True,True,3613fc38bc6f4eb05e9e4cbed01704f62934b389e5ec0a8d55349fb9db4a156b,0,0.48,train_2,0.32,True,False,False,CARR,0.7142857142857143,0.23428571428571432,0.3942857142857143,False,,,,,,,,,
True,True,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0.42857142857142855,train_3,0.3939393939393939,True,False,False,CARR,0.75,0.32142857142857145,0.3560606060606061,False,,,,,,,,,
True,True,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0.5882352941176471,train_1,0.6176470588235294,True,False,False,CRK,0.9615384615384616,0.3733031674208145,0.3438914027149321,False,,,,,,,,,
True,True,2e9445c9a316b8f4a5a2e99c44468d8d61f38978cfbc33378a63e25ffaf807f4,0,0.5833333333333334,train_2,0.7,True,False,False,CRK,0.9,0.31666666666666665,0.20000000000000007,False,,,,,,,,,
True,True,8a6f145d574d9d6a4d529af9c9683ef484a77da2f304044321cb33316bc0529d,0,0.2857142857142857,train_3,0.5652173913043478,True,False,True,CRK,0.9545454545454546,0.6688311688311689,0.3893280632411068,False,,,,,,,,,
True,True,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,0.7777777777777778,train_1,0.5217391304347826,True,False,False,CLDX,0.95,0.17222222222222217,0.42826086956521736,False,,,,,,,,,
True,True,78936cae8da65ac27192a1d41ce3f4b5dd0989ef8e40d12e8a276a8244614c0e,1,0.6538461538461539,train_2,0.6829268292682927,True,False,False,CLDX,0.8181818181818182,0.16433566433566438,0.1352549889135255,False,,,,,,,,,
True,True,eb740f69f8e95315744adf2196b2e100590b3dea17db1161dc4a48e338fd0b8b,0,0.6363636363636364,train_3,0.6578947368421053,True,False,False,CLDX,0.9090909090909091,0.2727272727272727,0.25119617224880375,False,,,,,,,,,
True,True,ccf9e6277ca3abe3eb6e1bb60a4b413e6acdb547de68766dbc0119425198fd0d,0,0.5416666666666666,train_1,0.46808510638297873,True,False,False,ADPT,0.9047619047619048,0.36309523809523814,0.43667679837892603,False,,,,,,,,,
True,True,04920062449583a09212d03e055e6e1f3eb9c248a7600ca68dcdfdc32cd28f85,0,0.4666666666666667,train_2,0.5,True,False,False,ADPT,1.0,0.5333333333333333,0.5,False,,,,,,,,,
True,True,cb14309c1f429682458faf89f37b98fdb917b711061076b585ad7d624bdc19ad,0,0.5263157894736842,train_3,0.4666666666666667,True,False,False,ADPT,1.0,0.4736842105263158,0.5333333333333333,False,,,,,,,,,
True,True,8522335986f8c19c80e67a94931fbba86978764a15246241907838cabf80fccf,0,0.6111111111111112,train_1,0.3902439024390244,True,False,False,BIDU,0.9583333333333334,0.3472222222222222,0.568089430894309,False,,,,,,,,,
True,True,4a56751b78321287acfdea6e15970727a9bf63a393016ada634785974cda458d,0,0.45454545454545453,train_2,0.2727272727272727,True,False,False,BIDU,0.75,0.29545454545454547,0.4772727272727273,False,,,,,,,,,
True,True,3f1c01552e64da54dbbf8b8500b89cd5a7918995a0d899dbf90cf0418cfacf2e,0,0.2777777777777778,train_3,0.3793103448275862,True,False,False,BIDU,0.7391304347826086,0.46135265700483086,0.35982008995502246,False,,,,,,,,,
True,True,4876950bfcbf3e7af8a5dcf81cc642959bcc1316dc3d709968eb9400303fdca3,0,0.0,train_1,0.0,True,False,True,CEF,0.0,0.0,0.0,False,,,,,,,,,
True,True,5b25065d6eebc55a11f9ad2a9ce8c9ba907dd627f8caef8b9310a5010ca3f69f,0,0.0,train_2,0.0,True,False,True,CEF,0.0,0.0,0.0,False,,,,,,,,,
True,True,3e3f50b21d7e735041555dce056f485adea33f011cc5765108413ae86244c28b,0,0.0,train_3,0.0,True,False,True,CEF,0.0,0.0,0.0,False,,,,,,,,,
True,True,8a1e2fb2d6e072d12e2756a7629265e3876f43713766bd7b7812de949abc0ec1,0,0.38461538461538464,train_1,0.5,True,False,False,AMD,0.9523809523809523,0.5677655677655677,0.45238095238095233,False,,,,,,,,,
True,True,52aadbcb1c8cc11692b791afd4848475cade1b40cb37cd23d9cb92f9eb34fdfc,0,0.2857142857142857,train_2,0.32,True,False,True,AMD,0.9,0.6142857142857143,0.5800000000000001,False,,,,,,,,,
True,True,cd6527bd1b8f95b6dc977fca067ba7d383651f0cb319883d43bcf76b0c24f2f0,0,0.4375,train_3,0.48,True,False,False,AMD,0.7619047619047619,0.32440476190476186,0.2819047619047619,False,,,,,,,,,
True,True,d42baa944275695a136220ac094f7e202c54d46eedb09eba10f8fce1117b7de2,0,0.6666666666666666,train_1,0.41379310344827586,True,True,False,AAP,0.55,-0.11666666666666659,0.1362068965517242,False,,,,,,,,,
True,True,85dc39e38f6dbb03b706ada64f362839eeda3d660be7a6b7bb5d5188dbbc15de,0,0.7272727272727273,train_2,0.43478260869565216,True,False,False,AAP,0.9523809523809523,0.22510822510822504,0.5175983436853002,False,,,,,,,,,
True,True,84f79931d34bf7591cb734d873b2e67ebe3c076105cd09900ee6308cc73f7078,0,0.44,train_3,0.2,True,False,False,AAP,0.8,0.36000000000000004,0.6000000000000001,False,,,,,,,,,
True,True,546e623e5574fdd5ecb6b9351934630774f00e3a3b3c600f6f6ed767ea8a8111,0,0.6428571428571429,train_1,0.6909090909090909,True,False,False,CAPR,1.0,0.3571428571428571,0.3090909090909091,False,,,,,,,,,
True,True,c27a6508da2556a1efe4ff3886417afba520034e8d195d68d8f15f06f9226773,0,0.8947368421052632,train_2,0.525,True,False,False,CAPR,0.9,0.0052631578947368585,0.375,False,,,,,,,,,
True,True,e67e2a90d27e6a9c21ea7c7d9c66a86eb792b255db3cd5aab56e0174e5a7efc4,0,0.625,train_3,0.5588235294117647,True,False,False,CAPR,0.9523809523809523,0.32738095238095233,0.3935574229691876,False,,,,,,,,,
True,True,29b3378d86c9524b6a35d9b2fb574bb7f0511da640717318971bbaf272604ee7,0,0.5909090909090909,train_1,0.43243243243243246,True,False,False,STLD,0.95,0.359090909090909,0.5175675675675675,False,,,,,,,,,
True,True,b9843e5f27557369f3b1f27578b9976c70e00f2edb44e3e1ed4d8ed51b8868be,0,0.5172413793103449,train_2,0.4864864864864865,True,False,False,STLD,0.9,0.38275862068965516,0.4135135135135135,False,,,,,,,,,
True,True,3c5372ac9539670a72b0752f1b1333f879e4a0de29d40c3d23853ff600e1c650,0,0.5454545454545454,train_3,0.375,True,False,False,STLD,0.7142857142857143,0.1688311688311689,0.3392857142857143,False,,,,,,,,,
True,True,b4a87a771a0a154d48b89fb17e4946c294b839830a87475a059fe16fad4ad86e,0,0.3125,train_1,0.5,True,False,False,BNTX,0.75,0.4375,0.25,False,,,,,,,,,
True,True,31523c139c138d284d139121dffde33938b061da83f4f7473a6f508aa552e2a4,0,0.3333333333333333,train_2,0.6363636363636364,True,False,False,BNTX,0.8571428571428571,0.5238095238095237,0.22077922077922074,False,,,,,,,,,
True,True,8a9e488ee1149039d081f7e2a92f515ccd07cfc80ad2cc1ca3b9eec07698e30f,0,0.09090909090909091,train_3,0.53125,True,False,False,BNTX,0.75,0.6590909090909091,0.21875,False,,,,,,,,,
True,True,8c1f045d652f731a5326151fd1941224fc5fa7257802355076dc9c25a28573c8,0,1.0,train_1,0.3,True,False,True,BWXT,0.65,-0.35,0.35000000000000003,False,,,,,,,,,
True,True,c256cdfcf8ab1636a19e6bb2ca8d7f012d8b3256d1bcd3d9c326917057d0d2d4,0,0.0,train_2,0.0,True,False,True,BWXT,0.0,0.0,0.0,False,,,,,,,,,
True,True,402ff20d713a5a61575ab8d32f258d85f904720758aaa8a68a2462444e88d734,0,0.2903225806451613,train_3,0.28125,True,False,False,BWXT,0.7,0.40967741935483865,0.41874999999999996,False,,,,,,,,,
True,True,e1b2281e5b03931fc3f1ce59d4b67f3b3f03f3342a0f5da9c729a11578504bc4,0,0.8333333333333334,train_1,0.4074074074074074,True,False,True,BE,1.0,0.16666666666666663,0.5925925925925926,False,,,,,,,,,
True,True,78fcc7ffc189e7f8efbb3e234b41504e85c650d64b51e8ff0a7267d6c1bd3e59,0,0.8333333333333334,train_2,0.5238095238095238,True,False,False,BE,0.8,-0.033333333333333326,0.2761904761904762,False,,,,,,,,,
True,True,1e851e48eac18b8f19b282e1fbd8c59b464418363140d72463d06e06a80f0e94,0,0.75,train_3,0.6363636363636364,True,False,False,BE,0.9230769230769231,0.17307692307692313,0.2867132867132868,False,,,,,,,,,
True,True,fa9f9412f17be91a223caee3d0289067dddfe0c3f94f6803fb31e684de4eaa46,0,0.47368421052631576,train_1,0.3333333333333333,True,False,False,CLF,0.8,0.3263157894736843,0.46666666666666673,False,,,,,,,,,
True,True,30422bc544fb9dd1a6223f72b5912ccd651e26fbea4c243ef3449e561349d434,0,0.75,train_2,0.5714285714285714,True,False,False,CLF,0.9,0.15000000000000002,0.3285714285714286,False,,,,,,,,,
True,True,ea486c121c7f6e110c72600199c2ae07b52679d57eb042cb645cbf933fb7ad9e,0,0.6666666666666666,train_3,0.627906976744186,True,False,False,CLF,0.92,0.2533333333333334,0.292093023255814,False,,,,,,,,,
True,True,828180b11432a576a7b9e078b1fe4fe4fae97234aa34c8da046c3322f29c00ec,0,0.631578947368421,train_1,0.24561403508771928,True,False,False,AVGO,0.875,0.24342105263157898,0.6293859649122807,False,,,,,,,,,
True,True,036027023004c5f9e6821749672995c2968cc0074a7666d29f65ea7402493f0d,0,0.6153846153846154,train_2,0.22,True,False,False,AVGO,0.65,0.0346153846153846,0.43000000000000005,False,,,,,,,,,
True,True,9594f30d730017ef43bb2764d9980fc569149a15993a0bfad39f13e54fd52416,0,0.5833333333333334,train_3,0.25,True,False,False,AVGO,0.85,0.2666666666666666,0.6,False,,,,,,,,,
True,True,4a7660c96744694262945863dcdb53b260fb35fa9d45a7405ad68ced438452c8,0,0.5,train_1,0.5625,True,False,False,ACLS,1.0,0.5,0.4375,False,,,,,,,,,
True,True,b42e303bc2663a19ab13fd077ebf7c46d1b71d7cd6badef5f80504e6aa9fad97,0,0.5,train_2,0.5483870967741935,True,False,False,ACLS,0.7727272727272727,0.2727272727272727,0.2243401759530792,False,,,,,,,,,
True,True,d12be4d00401646f6e90885b9d7f67b585be063dd9e1f35efa1843990ebb3cb9,0,0.6666666666666666,train_3,0.5333333333333333,True,False,False,ACLS,0.8,0.13333333333333341,0.2666666666666667,False,,,,,,,,,
True,True,eaceb214f420784080f9c7f4a154be41e90f37f60698640cefd77acb8b1bba98,0,0.14285714285714285,train_1,0.5517241379310345,True,False,False,CSIQ,0.95,0.8071428571428572,0.3982758620689655,False,,,,,,,,,
True,True,ee41c0a9fc09715c4a8d2252c61aeef0811737236f3bbd881b53532a0a586009,0,0.42857142857142855,train_2,0.65625,True,False,False,CSIQ,0.8,0.3714285714285715,0.14375000000000004,False,,,,,,,,,
True,True,e44aeda8b36e5b99081d50613c0d1e73a0826c9f64d69236c9c6f99e952d6db0,0,0.4,train_3,0.65625,True,False,False,CSIQ,0.9523809523809523,0.5523809523809523,0.29613095238095233,False,,,,,,,,,
True,True,22217bd1d1db1f53201b031e97a7eb51c7767607f533f052f561f2c35d74ccf6,0,0.30434782608695654,train_1,0.5555555555555556,True,False,False,CCL,1.0,0.6956521739130435,0.4444444444444444,False,,,,,,,,,
True,True,cc34e4608248085857a40daf3d7c5f976575ab202d87dbb562ecd65457fed7c1,0,0.21739130434782608,train_2,0.3076923076923077,True,False,False,CCL,0.9,0.682608695652174,0.5923076923076923,False,,,,,,,,,
True,True,1fc5b03b41a85c2a7ed0e9c1ce8c0e9411e851eb182606cbebf6eded94372ccc,0,0.3125,train_3,0.36666666666666664,True,False,False,CCL,0.7,0.38749999999999996,0.3333333333333333,False,,,,,,,,,
True,True,c4d780316a7c8bcf371e7c7c5b51cf1c92ee8a47dcd46975af9805ae736b8e23,0,0.36363636363636365,train_1,0.4666666666666667,True,False,False,ANET,0.9090909090909091,0.5454545454545454,0.4424242424242424,False,,,,,,,,,
