rank93,ticker,candidate_id,stage,bucket,rule_hash_short,live26,eval_ok,eval_reason,should_buy,final_score,threshold,ratio,ratio_lt_1_05,ratio_lt_1_10,ratio_lt_1_15,ratio_lt_1_25,core_positive_count,core_ma,core_macd,core_rsi,core_bb,core_volume,top1_component,top1_share_pct,top2_components,top2_share_pct,top2_ge_80,top2_ge_90,top2_ge_95,bb_rsi_only_pass,history_status,exit_n,exit_avg_pnl_pct,exit_win_rate_pct,exit_avg_mae_pct,exit_avg_mfe_pct,exit_min_pnl_pct,stop_loss_n,time_out_n,take_profit_n,trailing_n,breakeven_stop_n,stop_timeout_pct,exit_avg_pnl_lt_0,exit_win_rate_lt_45,exit_stop_timeout_gt_80,symptom1_low_ratio,symptom2_concentrated,symptom3_weak_exit,symptom_count,symptom_labels
19,CLS,stage3:CLS:78777565b183,stage3,watch,78777565b183,False,True,,False,0.872645,2.138064,0.408147,True,True,True,True,1,0.000000,0.000000,0.872645,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,70,2.816652,68.571429,-4.242143,9.067380,-9.755864,19,6,9,0,34,35.714286,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
20,CRK,stage3:CRK:997177aa687b,stage3,C_momentum,997177aa687b,False,True,,False,-0.142700,1.684530,-0.084712,True,True,True,True,2,0.000000,0.000000,1.412502,2.000000,0.000000,bb,58.608023,bb+rsi,100.000000,True,True,True,False,OK,52,2.433433,46.153846,-8.451400,15.295168,-20.778670,7,10,0,33,0,32.692308,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
21,CAR,stage3:CAR:ce44ff6acbb5,stage3,C_momentum,ce44ff6acbb5,False,True,,False,1.536928,2.479399,0.619879,True,True,True,True,1,0.000000,0.000000,1.536928,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,63,4.305194,34.920635,-7.348068,17.673606,-19.400830,22,16,0,24,0,60.317460,False,True,False,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
22,AGQ,stage3:AGQ:6d10e70f54ee,stage3,B_stable,6d10e70f54ee,False,True,,False,1.810361,2.791628,0.648497,True,True,True,True,1,0.000000,0.000000,1.864814,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,35,2.656392,62.857143,-8.634168,11.360346,-40.949458,4,9,15,5,0,37.142857,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
23,AXON,stage3:AXON:25b116de3cd4,stage3,C_momentum,25b116de3cd4,False,True,,False,0.000000,1.586221,0.000000,True,True,True,True,1,1.472782,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,32,3.104057,59.375000,-7.578023,11.551618,-17.981176,10,12,0,9,0,68.750000,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
24,BKSY,stage3:BKSY:f1bcc8efea02,stage3,watch,f1bcc8efea02,True,True,,False,0.549349,2.232911,0.246024,True,True,True,True,1,0.000000,0.000000,0.000000,0.293181,0.000000,bb,100.000000,bb,100.000000,True,True,True,False,OK,80,0.954289,42.500000,-8.583615,11.175081,-21.655874,35,32,12,0,0,83.750000,False,True,True,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
25,CIEN,stage3:CIEN:2ed675d30868,stage3,C_momentum,2ed675d30868,True,True,,False,2.722031,3.096890,0.878956,True,True,True,True,2,0.000000,0.899870,1.822161,0.000000,0.000000,rsi,66.941222,rsi+macd,100.000000,True,True,True,False,OK,63,3.283594,50.793651,-4.656438,10.825920,-11.176711,10,17,0,32,0,42.857143,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
26,CGC,stage3:CGC:650b7578c8c7,stage3,watch,650b7578c8c7,False,True,,True,3.449001,2.428542,1.420194,False,False,False,False,1,0.000000,0.000000,1.048292,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,68,-1.320918,61.764706,-10.470719,10.923703,-35.513748,3,21,5,0,38,35.294118,True,False,False,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
27,AVGO,stage3:AVGO:e4fd3cee2402,stage3,C_momentum,e4fd3cee2402,False,True,,False,1.318274,3.189106,0.413368,True,True,True,True,1,0.000000,0.000000,1.318274,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,48,3.100659,68.750000,-3.710833,9.117383,-15.391985,7,16,0,7,16,47.916667,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
28,CCL,stage3:CCL:82d5bafb7e78,stage3,C_momentum,82d5bafb7e78,False,True,,True,3.958224,2.746805,1.441028,False,False,False,False,1,0.000000,0.000000,0.980167,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,56,2.254847,69.642857,-6.840699,10.955228,-18.165624,11,7,0,11,25,32.142857,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
29,ARKW,stage3:ARKW:296c057b4ef7,stage3,watch,296c057b4ef7,True,True,,True,2.841174,2.563383,1.108369,False,False,True,True,3,1.815566,0.000000,0.648317,0.000000,0.377290,ma_align,63.901980,ma_align+rsi,86.720627,True,False,False,False,OK,41,0.097414,46.341463,-5.710962,9.753696,-17.719679,5,8,0,26,0,31.707317,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
30,CRS,stage3:CRS:8695c9ce3320,stage3,watch,8695c9ce3320,True,True,,True,2.971798,2.557476,1.162004,False,False,False,True,3,1.073433,0.000000,1.647590,1.941051,0.000000,bb,41.634925,bb+rsi,76.975213,False,False,False,False,OK,70,3.379472,74.285714,-5.467669,10.358189,-17.350320,8,15,0,9,36,32.857143,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
31,COHR,stage3:COHR:10ef1bf6b0d1,stage3,watch,10ef1bf6b0d1,False,True,,False,1.309466,2.145441,0.610348,True,True,True,True,1,0.000000,0.000000,1.653503,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,58,4.148683,58.620690,-7.240860,12.733615,-19.262449,8,23,24,0,0,53.448276,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
32,BTE,stage3:BTE:4ba9af200f79,stage3,watch,4ba9af200f79,False,True,,True,3.408128,3.356983,1.015235,True,True,True,True,2,0.000000,0.000000,1.324328,2.000000,0.000000,bb,60.162538,bb+rsi,100.000000,True,True,True,True,OK,29,3.008198,62.068966,-8.363616,10.668754,-18.739842,7,12,7,0,0,65.517241,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
33,AMBA,stage3:AMBA:5e057e3cfc2d,stage3,watch,5e057e3cfc2d,False,True,,False,0.571802,2.187380,0.261410,True,True,True,True,1,0.000000,0.000000,0.571802,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,63,1.172738,36.507937,-6.706826,9.047582,-19.717085,36,10,15,0,0,73.015873,False,True,False,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
34,CLDX,stage3:CLDX:99264f63b69d,stage3,watch,99264f63b69d,False,True,,False,1.693011,3.523881,0.480439,True,True,True,True,1,2.000000,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,47,4.091930,46.808511,-7.526050,12.976235,-20.899575,22,10,13,0,0,68.085106,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
35,DELL,stage3:DELL:47ee59ff823b,stage3,C_momentum,47ee59ff823b,False,True,,True,4.282248,1.945593,2.200999,False,False,False,False,2,2.000000,0.000000,0.779776,0.000000,0.000000,ma_align,71.948249,ma_align+rsi,100.000000,True,True,True,False,OK,62,4.193510,69.354839,-4.843531,10.292584,-15.813894,10,21,0,24,6,50.000000,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
36,BMA,stage3:BMA:0c978464f9dd,stage3,C_momentum,0c978464f9dd,True,True,,True,19.245747,2.848392,6.756707,False,False,False,False,1,0.000000,0.000000,1.960726,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,41,7.820990,65.853659,-7.365347,18.206465,-20.796275,7,13,0,20,0,48.780488,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
37,BELFB,stage3:BELFB:b031f5add884,stage3,watch,b031f5add884,False,True,,False,1.083778,2.867370,0.377969,True,True,True,True,1,0.000000,0.000000,1.200878,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,61,4.495594,77.049180,-5.060561,11.948280,-14.515468,10,5,0,10,34,24.590164,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
38,CRWD,stage3:CRWD:a1e78fe5f62e,stage3,B_stable,a1e78fe5f62e,False,True,,True,4.496205,2.393438,1.878555,False,False,False,False,2,1.717705,0.000000,1.424516,0.000000,0.000000,ma_align,54.665314,ma_align+rsi,100.000000,True,True,True,False,OK,54,3.042562,64.814815,-6.899102,11.962873,-23.502777,10,20,0,20,0,55.555556,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
39,CC,stage3:CC:520ee91feeea,stage3,watch,520ee91feeea,False,True,,False,-0.363332,3.006743,-0.120839,True,True,True,True,2,0.000000,0.000000,1.221730,0.807091,0.000000,rsi,60.218726,rsi+bb,100.000000,True,True,True,False,OK,65,2.415168,64.615385,-5.110091,8.327444,-13.407503,11,6,24,10,13,26.153846,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
40,APH,stage3:APH:c7885deba35c,stage3,B_stable,c7885deba35c,False,True,,False,-2.355671,1.500000,-1.570448,True,True,True,True,2,1.842640,0.000000,0.271448,0.000000,0.000000,ma_align,87.160028,ma_align+rsi,100.000000,True,True,True,False,OK,61,1.027120,44.262295,-3.629123,5.595460,-8.687784,31,15,0,12,0,75.409836,False,True,False,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
41,BCS,stage3:BCS:5e7da5a74b01,stage3,B_stable,5e7da5a74b01,True,True,,True,6.986155,3.301677,2.115941,False,False,False,False,3,1.170808,0.000000,1.760033,2.000000,0.000000,bb,40.561034,bb+rsi,76.255411,False,False,False,False,OK,58,1.321981,53.448276,-4.181438,7.220365,-12.457813,17,31,0,9,0,82.758621,False,False,True,False,False,True,1,WEAK_EXIT_HISTORY
42,CW,stage3:CW:81ce9154b422,stage3,C_momentum,81ce9154b422,False,True,,True,3.768357,1.500000,2.512238,False,False,False,False,3,2.000000,0.000000,1.004237,0.253452,0.000000,ma_align,61.393221,ma_align+rsi,92.219888,True,True,False,False,OK,52,1.920441,55.769231,-3.297191,5.848774,-9.884591,20,24,0,4,0,84.615385,False,False,True,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
43,BIDU,stage3:BIDU:926c6f7918c9,stage3,C_momentum,926c6f7918c9,False,True,,False,-2.579017,3.301441,-0.781179,True,True,True,True,2,0.000000,0.000000,0.407475,2.000000,0.000000,bb,83.074578,bb+rsi,100.000000,True,True,True,False,OK,43,0.410082,46.511628,-7.335886,8.312726,-26.455666,5,23,0,14,0,65.116279,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
44,BNTX,stage3:BNTX:d667608bc166,stage3,watch,d667608bc166,False,True,,False,-1.841852,1.960699,-0.939385,True,True,True,True,1,0.000000,0.000000,0.000000,1.137051,0.000000,bb,100.000000,bb,100.000000,True,True,True,False,OK,56,1.770539,55.357143,-7.197743,11.323697,-21.506472,11,15,10,18,0,46.428571,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
45,BMI,stage3:BMI:07d4ee0f7841,stage3,C_momentum,07d4ee0f7841,True,True,,True,8.291327,2.429303,3.413048,False,False,False,False,1,1.294689,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,40,1.034603,60.000000,-4.994587,7.159559,-19.833687,4,23,0,11,0,67.500000,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
46,BTU,stage3:BTU:ecfcb41f1be2,stage3,C_momentum,ecfcb41f1be2,False,True,,False,-6.953256,2.380004,-2.921531,True,True,True,True,1,0.000000,0.000000,1.563924,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,41,6.967113,75.609756,-8.249211,17.472128,-21.821067,4,10,0,8,17,34.146341,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
47,ALGT,stage3:ALGT:aec5dd5b1dc1,stage3,watch,aec5dd5b1dc1,True,True,,True,5.597293,2.293728,2.440260,False,False,False,False,2,1.690780,0.000000,2.000000,0.000000,0.000000,rsi,54.189084,rsi+ma_align,100.000000,True,True,True,False,OK,75,-0.290384,24.000000,-5.675865,7.477435,-11.012809,50,12,7,5,0,82.666667,True,True,True,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
48,CLF,stage3:CLF:869ed9e90afb,stage3,watch,869ed9e90afb,False,True,,False,-3.729756,2.887597,-1.291647,True,True,True,True,1,0.000000,0.000000,0.942617,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,27,0.958575,48.148148,-5.863770,7.099618,-15.181417,3,10,10,4,0,48.148148,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
49,CWK,stage3:CWK:2970595abcd4,stage3,B_stable,2970595abcd4,False,True,,True,3.072810,2.482610,1.237734,False,False,False,True,2,0.000000,0.000000,1.278030,1.521403,0.000000,bb,54.346840,bb+rsi,100.000000,True,True,True,True,OK,78,0.489551,52.564103,-3.883052,6.682495,-18.060364,32,12,0,4,27,56.410256,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
50,ACLS,stage3:ACLS:91f65753d85d,stage3,watch,91f65753d85d,False,True,,False,1.398591,4.000000,0.349648,True,True,True,True,1,0.000000,0.000000,1.860266,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,31,8.042111,70.967742,-7.444460,15.448774,-13.620856,3,19,7,0,0,70.967742,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
51,AEIS,stage3:AEIS:6e26f08a7c6d,stage3,B_stable,6e26f08a7c6d,True,True,,True,2.445473,1.639118,1.491945,False,False,False,False,2,0.000000,0.000000,0.445473,2.000000,0.000000,bb,81.783769,bb+rsi,100.000000,True,True,True,True,OK,67,2.298840,55.223881,-5.719060,7.605090,-11.707260,21,20,24,0,0,61.194030,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
52,ADPT,stage3:ADPT:78c31f1ca209,stage3,watch,78c31f1ca209,True,True,,False,1.726133,2.389647,0.722338,True,True,True,True,1,0.925583,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,123,0.185809,60.162602,-6.884183,9.070952,-19.761112,38,13,1,6,63,41.463415,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
53,DLTR,stage3:DLTR:9f4d686fbc80,stage3,B_stable,9f4d686fbc80,False,True,,False,1.936345,1.985883,0.975055,True,True,True,True,2,1.531937,0.000000,0.000000,0.397342,0.000000,ma_align,79.404623,ma_align+bb,100.000000,True,True,True,False,OK,48,0.325637,47.916667,-5.941412,6.823800,-14.236484,10,21,0,15,0,64.583333,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
54,APA,stage3:APA:692dd6626ba8,stage3,watch,692dd6626ba8,False,True,,False,-7.691158,2.274973,-3.380769,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,47,3.396817,68.085106,-4.075263,10.361380,-15.298542,10,2,9,4,22,25.531915,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
55,AAP,stage3:AAP:71dcdeb19ec0,stage3,watch,71dcdeb19ec0,True,True,,True,3.939047,2.573909,1.530375,False,False,False,False,2,0.000000,0.000000,1.958144,1.473341,0.000000,rsi,57.064035,rsi+bb,100.000000,True,True,True,True,OK,68,0.047299,39.705882,-3.827863,4.723992,-14.619009,39,2,25,1,0,60.294118,False,True,False,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
56,DBRG,stage3:DBRG:5eba9682ac09,stage3,watch,5eba9682ac09,False,True,,False,1.413836,3.316569,0.426295,True,True,True,True,3,0.963474,0.000000,1.756279,0.029002,0.000000,rsi,63.893630,rsi+ma_align,98.944910,True,True,True,False,OK,69,0.665673,56.521739,-3.583574,5.278143,-9.885360,16,39,0,13,0,79.710145,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
57,BWXT,stage3:BWXT:f195725cb792,stage3,watch,f195725cb792,True,True,,True,3.193971,2.015809,1.584461,False,False,False,False,1,0.000000,0.000000,1.013842,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,55,1.628830,50.909091,-4.046244,7.360060,-11.606488,21,28,0,4,0,89.090909,False,False,True,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
58,BB,stage3:BB:f1bdfe7f8ad9,stage3,watch,f1bdfe7f8ad9,True,True,,True,3.290903,2.791951,1.178711,False,False,False,True,2,1.540522,0.000000,1.750382,0.000000,0.000000,rsi,53.188483,rsi+ma_align,100.000000,True,True,True,False,OK,46,1.483714,47.826087,-9.023678,12.119762,-21.794662,13,17,13,0,0,65.217391,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
59,AA,stage3:AA:9bf08eb287d2,stage3,watch,9bf08eb287d2,False,True,,False,1.296412,3.576812,0.362449,True,True,True,True,1,0.000000,0.000000,2.000000,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,38,5.136894,76.315789,-6.258262,14.424517,-19.583639,2,13,0,5,17,39.473684,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
