scope,stage,cut,cut_definition,metric,metric_label,expected_bad_direction,rule_n,ticker_n,sparse_rule_n,other_rule_n,sparse_ticker_n,other_ticker_n,sparse_mean,other_mean,difference_sparse_minus_other,difference_ci_low,difference_ci_high,cluster_one_sided_p,bootstrap_valid_reps,trade_weighted_sparse_mean,trade_weighted_other_mean,trade_weighted_difference,nominal_sparse_worse,fdr_q,fdr_sparse_worse,is_pnl_difference,is_pnl_ci_high,is_pnl_fdr_q,is_pnl_fdr_sparse_worse,is_selected_direction_sparse_worse,validation_after_is_direction
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,avg_pnl_pct,평균 PnL,LOWER_BAD,9,9,1,8,1,8,2.3092624905292634,2.251858195464325,0.05740429506493827,-1.003125244633543,1.1288298356478466,0.5381813602074578,3289,2.3092624905292634,2.432645393554452,-0.12338290302518873,False,1.0,False,0.04334078027063226,0.39829206290215535,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,win_rate_pct,승률,LOWER_BAD,9,9,1,8,1,8,61.40350877192983,70.50162017953913,-9.098111407609302,-17.499922572995057,-0.5330772877154892,0.041574665361600094,3331,61.403508771929836,71.91392978482446,-10.510421012894625,True,0.08314933072320019,False,0.04334078027063226,0.39829206290215535,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,p05_pnl_pct,PnL 5% 분위,LOWER_BAD,9,9,1,8,1,8,-7.963458031968,-8.565111298029812,0.6016532660618124,-1.3622119639239705,2.731849760535466,0.6886763587295153,3255,-7.963458031968,-8.25504623607163,0.29158820410362996,False,1.0,False,0.04334078027063226,0.39829206290215535,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,tail10_mean_pnl_pct,하위 10% 평균 PnL,LOWER_BAD,9,9,1,8,1,8,-8.577602158168334,-9.54109580438459,0.9634936462162553,-0.7280245473107709,2.9180720344582833,0.8133254312873905,3243,-8.577602158168334,-9.269657226718067,0.6920550685497329,False,1.0,False,0.04334078027063226,0.39829206290215535,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,worst_mae_pct,worst MAE,LOWER_BAD,9,9,1,8,1,8,-18.172585687,-16.069319512742503,-2.1032661742574987,-5.577412127115931,1.9503959363254975,0.17112257385997487,3245,-18.172585687,-16.91867955746761,-1.2539061295323926,False,0.34224514771994974,False,0.04334078027063226,0.39829206290215535,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,avg_pnl_pct,평균 PnL,LOWER_BAD,9,9,0,9,0,9,,2.2582364504715406,,,,,0,,2.425163664328456,,False,1.0,False,0.025782530602741716,0.2844703324069812,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,win_rate_pct,승률,LOWER_BAD,9,9,0,9,0,9,,69.49071891202699,,,,,0,,71.27659574468085,,False,1.0,False,0.025782530602741716,0.2844703324069812,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,p05_pnl_pct,PnL 5% 분위,LOWER_BAD,9,9,0,9,0,9,,-8.498260935134056,,,,,0,,-8.237364823695135,,False,1.0,False,0.025782530602741716,0.2844703324069812,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,tail10_mean_pnl_pct,하위 10% 평균 PnL,LOWER_BAD,9,9,0,9,0,9,,-9.434040954805006,,,,,0,,-9.227692185327285,,False,1.0,False,0.025782530602741716,0.2844703324069812,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,worst_mae_pct,worst MAE,LOWER_BAD,9,9,0,9,0,9,,-16.303015754326665,,,,,0,,-16.994714290854148,,False,1.0,False,0.025782530602741716,0.2844703324069812,0.7563862486313562,False,False,False
