path,path_kind,type,risk,size_bytes,size_human,file_count,recent_modified_utc,days_since_modified,reachable,reachable_from,reference_count,last_reference_trace,git_tracked,git_last_commit_date,git_last_commit,protected_reason,decision_reason
engine/pipeline/orchestrator.py,file,UNREACHED_ENGINE_MODULE,REVIEW,9255,9.04KiB,1,2026-06-03T22:27:02.226391+00:00,36.644,False,,0,none in active import/literal graph,True,2026-06-03T22:43:02+00:00,414a183,,engine module not reached; dynamic/manual use remains possible
engine/pipeline/rolling_validation.py,file,UNREACHED_ENGINE_MODULE,REVIEW,10863,10.61KiB,1,2026-06-07T02:43:32.782282+00:00,33.466,False,,0,none in active import/literal graph,True,2026-06-07T02:45:56+00:00,777bfdb,,engine module not reached; dynamic/manual use remains possible
engine/pipeline/screening.py,file,UNREACHED_ENGINE_MODULE,REVIEW,9311,9.09KiB,1,2026-06-03T20:45:40.984109+00:00,36.714,False,,0,none in active import/literal graph,True,2026-06-03T20:47:41+00:00,4113a68,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/__init__.py,file,ONE_OFF_OR_RESEARCH_SCRIPT,REVIEW,31,31.00B,1,2026-06-09T18:22:07.812891+00:00,30.814,False,,0,none in active import/literal graph,True,2026-06-09T18:23:40+00:00,4ff6027,,standalone research/helper script not reached from current entrypoints
engine/portfolio/capital_allocation_probe.py,file,UNREACHED_ENGINE_MODULE,REVIEW,18209,17.78KiB,1,2026-06-09T20:24:50.092953+00:00,30.729,False,,0,none in active import/literal graph,True,2026-06-09T20:25:37+00:00,6280d7f,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/capital_lot_rebalance_probe.py,file,UNREACHED_ENGINE_MODULE,REVIEW,37752,36.87KiB,1,2026-06-10T03:58:46.566382+00:00,30.414,False,,0,none in active import/literal graph,True,2026-06-10T04:00:06+00:00,104e3f4,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/capital_rebalance_probe.py,file,UNREACHED_ENGINE_MODULE,REVIEW,24316,23.75KiB,1,2026-06-10T02:28:38.141435+00:00,30.476,False,,0,none in active import/literal graph,True,2026-06-10T02:29:29+00:00,f4d6dd7,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/conservative_core_exit_gate.py,file,UNREACHED_ENGINE_MODULE,REVIEW,10934,10.68KiB,1,2026-06-09T20:07:01.905958+00:00,30.741,False,,0,none in active import/literal graph,True,2026-06-09T20:07:21+00:00,779823f,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/daily_signal_replay.py,file,UNREACHED_ENGINE_MODULE,REVIEW,30357,29.65KiB,1,2026-06-10T03:57:28.148456+00:00,30.415,False,,0,none in active import/literal graph,True,2026-06-10T04:00:06+00:00,104e3f4,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/noop_gate.py,file,UNREACHED_ENGINE_MODULE,REVIEW,38607,37.70KiB,1,2026-06-09T19:28:55.594106+00:00,30.768,False,,0,none in active import/literal graph,True,2026-06-09T19:30:02+00:00,26623e6,,engine module not reached; dynamic/manual use remains possible
engine/portfolio/pit_universe_bias_probe.py,file,UNREACHED_ENGINE_MODULE,REVIEW,33262,32.48KiB,1,2026-06-09T20:57:50.181091+00:00,30.706,False,,0,none in active import/literal graph,True,2026-06-09T20:58:49+00:00,56b719e,,engine module not reached; dynamic/manual use remains possible
