method,metric,estimate,ci_low,ci_high,candidate_n,bootstrap_valid_reps,controls,window,candidate_coverage,strata_n,strata,stratum,note
realized_exit_reason_descriptive,avg_mfe_pct,-1.5096238698500182,-2.4081198191597792,-0.5650063350980504,,,,FROZEN_OOS,32.0,,,breakeven_stop,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_pnl_pct,-18.29031403955126,,,,,,FROZEN_OOS,5.0,,,sell_omen,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,-54.71070148489503,,,,,,FROZEN_OOS,5.0,,,sell_omen,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,-0.5226122818625925,,,,,,FROZEN_OOS,5.0,,,sell_omen,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mfe_pct,-15.087331012637609,,,,,,FROZEN_OOS,5.0,,,sell_omen,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_pnl_pct,-0.6287825246350103,-2.127057014726526,0.9557616251686402,,,,FROZEN_OOS,47.0,,,stop_loss,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,-1.1502154890742355,-1.898529724097882,-0.5357082257801132,,,,FROZEN_OOS,47.0,,,stop_loss,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,-0.8705141641200207,-3.036912885911448,1.287766334339594,,,,FROZEN_OOS,47.0,,,stop_loss,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mfe_pct,0.20822596133870963,-2.5709967932726148,2.979275233113211,,,,FROZEN_OOS,47.0,,,stop_loss,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_pnl_pct,-7.351200069643676,-15.74032657548023,-1.436552126319029,,,,FROZEN_OOS,49.0,,,take_profit,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,1.3076438019976138,0.28890783366486517,2.8226302035825483,,,,FROZEN_OOS,49.0,,,take_profit,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,-0.463601393140995,-1.4694485772345331,0.34090027058169803,,,,FROZEN_OOS,49.0,,,take_profit,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mfe_pct,-11.592734368474083,-24.862597629055788,-3.273544657374334,,,,FROZEN_OOS,49.0,,,take_profit,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_pnl_pct,-0.5913919525119389,-4.557584877537193,3.6036875213159436,,,,FROZEN_OOS,93.0,,,time_out,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,6.912970739012032,-6.567750973433833,20.42953210703644,,,,FROZEN_OOS,93.0,,,time_out,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,0.524449831968762,-3.0032446760162608,3.0485007966514006,,,,FROZEN_OOS,93.0,,,time_out,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mfe_pct,-0.4181964449921036,-4.304971239673137,3.3947316892271924,,,,FROZEN_OOS,93.0,,,time_out,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_pnl_pct,-9.449633351544936,-22.41418794905853,0.8565413794874032,,,,FROZEN_OOS,74.0,,,trailing,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,-33.60512919315605,-57.41097615034289,-6.38717787781365,,,,FROZEN_OOS,74.0,,,trailing,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,-4.192712846010395,-9.070879580113461,-1.019405022874993,,,,FROZEN_OOS,74.0,,,trailing,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mfe_pct,-0.9040604579198348,-7.401657709205148,3.7495205730930934,,,,FROZEN_OOS,74.0,,,trailing,post-entry outcome stratum; not causal control
