scope,stage,cut,cut_definition,group,rule_n,ticker_n,trade_n_sum,mean_rule_avg_pnl_pct,median_rule_avg_pnl_pct,mean_rule_win_rate_pct,mean_rule_p05_pnl_pct,mean_rule_tail10_pnl_pct,mean_rule_worst_mae_pct
INTERNAL_HOLDOUT,stage2,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,105,55,1369,2.0062407065956847,1.8095454149917658,65.9912915274481,-5.387386516678358,-5.785985906694715,-8.98455970941404
INTERNAL_HOLDOUT,stage2,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,957,291,12731,2.3307266449449044,1.9796405385142477,68.57756849157145,-5.788405960989813,-6.416051122547215,-9.677938900105344
INTERNAL_HOLDOUT,stage2,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,24,16,314,1.7210902360988374,1.5682362247317858,64.29485513125219,-5.08134830299704,-5.421130489233833,-9.114717098407239
INTERNAL_HOLDOUT,stage2,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,1038,307,13786,2.3119985623684474,1.9697580464313216,68.4149731538207,-5.764188564206696,-6.3753201471474155,-9.620821855999532
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,38,23,491,1.7217287425678407,1.5682362247317858,63.53986420356389,-5.516732876913902,-5.93157539074075,-9.31595530791087
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,1024,303,13609,2.3200536925656663,1.9844108025450646,68.49932013386768,-5.757367421480225,-6.369423417609845,-9.620273432801442
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,19,11,253,1.6663178835497876,1.3592507474577442,64.52396373836002,-4.982462774745691,-5.338053619944579,-9.079167800828651
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,1043,307,13847,2.310163598866131,1.9695228880857958,68.3910482701698,-5.762716487246703,-6.372259276799312,-9.619043248967923
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,8,3,102,1.4495753816395234,1.3469822205065687,64.7636217948718,-4.66947675089398,-4.918000691808563,-8.376921050605475
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,OTHER,1054,308,13998,2.3050892508080687,1.9672245272257647,68.34887066646769,-5.756949027430102,-6.364654116647213,-9.618739021332493
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,SPARSE,8,3,102,1.4495753816395234,1.3469822205065687,64.7636217948718,-4.66947675089398,-4.918000691808563,-8.376921050605475
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,OTHER,1054,308,13998,2.3050892508080687,1.9672245272257647,68.34887066646769,-5.756949027430102,-6.364654116647213,-9.618739021332493
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,27,7,361,-0.8450885039766634,-0.35349341842364285,48.82360014712955,-9.238913083095909,-9.586872646275218,-12.713099083305428
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,15256,269,241366,1.0691603414635762,0.6407290313276371,52.58026817711848,-9.539619955396212,-10.142579126421948,-14.284974367856693
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,48,11,619,-0.2980984922151763,-0.3401977140985206,47.75731385952941,-8.839020367947928,-9.282725848185875,-11.735694529900298
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,15235,269,241108,1.0700755830250923,0.6418070611128265,52.58880587127237,-9.541294369222628,-10.144303372066279,-14.290220498446718
INTERNAL_HOLDOUT,stage3,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,901,94,12861,1.0706927679257323,0.5774230604324097,52.97443958482172,-9.51487323325149,-10.157237630874317,-13.690136050713837
INTERNAL_HOLDOUT,stage3,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,14382,269,228866,1.0654706296662404,0.643963240461895,52.548521655414234,-9.540605750911462,-10.140617550321577,-14.319288697648297
INTERNAL_HOLDOUT,stage3,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,150,25,2031,0.7322958786324876,0.42723067484456495,52.43187405702886,-9.551423599172653,-10.228181976704096,-13.40561416616584
INTERNAL_HOLDOUT,stage3,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,15133,269,239696,1.0690840149320082,0.6420428011373921,52.57503650337261,-9.538966441081895,-10.140739140794096,-14.290886176326312
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,276,46,3787,0.8394192911877496,0.45181899581118934,54.5831197941465,-9.275423207048073,-9.904873462339916,-13.537551205822503
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,15007,269,237940,1.069941564296204,0.6420428011373921,52.53667404883771,-9.543937888160388,-10.145951065405269,-14.295892483405343
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,105,20,1454,0.9890799557896035,0.5774230604324097,53.001575213981226,-9.130860201946565,-9.743543946416061,-12.74135251945245
INTERNAL_HOLDOUT,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,15178,269,240273,1.0663090910793942,0.6407290313276371,52.57067091294135,-9.541912792961117,-10.144351073907565,-14.292856807005432
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,48,11,619,-0.2980984922151763,-0.3401977140985206,47.75731385952941,-8.839020367947928,-9.282725848185875,-11.735694529900298
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,OTHER,15235,269,241108,1.0700755830250923,0.6418070611128265,52.58880587127237,-9.541294369222628,-10.144303372066279,-14.290220498446718
INTERNAL_HOLDOUT,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,SPARSE,48,11,619,-0.2980984922151763,-0.3401977140985206,47.75731385952941,-8.839020367947928,-9.282725848185875,-11.735694529900298
