scope,scenario,bucket,candidate_count,complete_count,base_avg_pnl_candidate_mean_pct,base_win_rate_candidate_mean_pct,holdout_candidate_count,holdout_trade_count,holdout_avg_pnl_candidate_mean_pct,holdout_win_rate_candidate_mean_pct,holdout_avg_pnl_trade_weighted_pct
COMPLETE_ONLY,neutral,MIN_COUNT_1,471,471,2.7283132440360784,63.91702102958377,471,6400,2.7528532946187125,67.0012330909352,2.7476293678347496
COMPLETE_ONLY,neutral,MIN_COUNT_2,2105,2105,3.010827532517044,64.68336059449047,2105,28373,3.476312381681048,65.84554726327595,3.3415377138798226
COMPLETE_ONLY,neutral,MIN_COUNT_3,473,473,2.918322163383543,67.20826514877032,473,5708,2.6614049437230114,66.82796632420158,2.550866235899224
COMPLETE_ONLY,neutral,MIN_COUNT_4,74,74,2.7388164666193506,67.8371421359257,74,864,2.6305177372036725,65.36986367675222,2.631055050133239
COMPLETE_ONLY,neutral,MIN_COUNT_5,11,11,2.9813094428593105,70.9131859131859,11,110,3.1763736563607505,75.23415977961433,3.3316011989989978
COMPLETE_ONLY,neutral,IMPOSSIBLE_CORE_ONLY,40,40,3.0308654196936176,71.79846340553179,40,493,2.4002310578082633,68.39792846042846,2.2616979699625896
COMPLETE_ONLY,market_cap,N1,1109,1109,2.915303806483904,64.35588672675313,1109,14070,3.268016440822136,66.81360448049769,3.219305319508921
COMPLETE_ONLY,market_cap,N2_OR_LESS,2806,2806,2.9624370406295366,64.73975736099167,2806,37535,3.3121293794691393,66.29467052558519,3.2038008830070983
COMPLETE_ONLY,market_cap,MORE_THAN_2_OR_IMPOSSIBLE,368,368,2.8459157074791754,68.1116122719753,368,4413,2.458827798586878,65.6252803251474,2.36906427266995
COMPLETE_ONLY,market_cap,MIN_COUNT_1,1109,1109,2.915303806483904,64.35588672675313,1109,14070,3.268016440822136,66.81360448049769,3.219305319508921
COMPLETE_ONLY,market_cap,MIN_COUNT_2,1697,1697,2.993238900775386,64.99061919562371,1697,23465,3.34095745781889,65.95554397520335,3.1945041678321293
COMPLETE_ONLY,market_cap,MIN_COUNT_3,278,278,2.826526364301456,67.27097336435165,278,3374,2.4538758805993215,65.08769585284998,2.359520239605857
COMPLETE_ONLY,market_cap,MIN_COUNT_4,54,54,2.7377931146464816,68.42257780531175,54,600,2.597266508642114,66.87587603028778,2.5338122339863087
COMPLETE_ONLY,market_cap,MIN_COUNT_5,7,7,3.702745579015915,72.14929214929215,7,87,2.982806299524827,71.08225108225108,3.255257917776725
COMPLETE_ONLY,market_cap,IMPOSSIBLE_CORE_ONLY,29,29,3.026296683879667,74.61649911259576,29,352,2.1220379141383336,67.13278101209136,1.9606947943862656
