feature,boundary_mode,risk_direction,percentile_boundary,raw_boundary_stage2,raw_boundary_stage3,discovery_n,discovery_bad_n,discovery_flagged_n,discovery_flagged_rate,discovery_auc,discovery_auc_ci_low,discovery_auc_ci_high,discovery_balanced_accuracy,discovery_precision,discovery_recall,discovery_bad_rate_flagged,discovery_bad_rate_unflagged,discovery_risk_difference,discovery_risk_difference_ci_low,discovery_risk_difference_ci_high,discovery_spearman,discovery_spearman_p,discovery_mannwhitney_p,validation_n,validation_bad_n,validation_flagged_n,validation_flagged_rate,validation_auc,validation_auc_ci_low,validation_auc_ci_high,validation_balanced_accuracy,validation_precision,validation_recall,validation_bad_rate_flagged,validation_bad_rate_unflagged,validation_risk_difference,validation_risk_difference_ci_low,validation_risk_difference_ci_high,discovery_fdr_q,discovery_supported,validation_supported,replicated_static_predictor,incremental_validation_n,incremental_validation_bad_n,incremental_validation_flagged_n,incremental_validation_auc,incremental_validation_auc_ci_low,incremental_validation_auc_ci_high,incremental_validation_risk_difference,incremental_validation_risk_difference_ci_low,incremental_validation_risk_difference_ci_high,discovery_flag_fisher_p,validation_flag_fisher_p,discovery_flag_fdr_q,validation_flag_fdr_q,validation_supported_fdr,replicated_static_predictor_fdr
is_fitness_per_sqrt_trade,stage_percentile,>=,0.7500000000000001,33.20596809107122,30.83186678304137,15363,3248,3842,0.2500813643168652,0.5065530024254425,0.4747613065013699,0.5392753097185571,0.5065856203582662,0.22019781363872984,0.2604679802955665,0.22019781363872984,0.20848884645430085,0.011708967184428987,-0.029179837220859837,0.060139929182985684,0.01151274748600926,0.153606344156881,0.15360053393798892,82,42,31,0.3780487804878049,0.48422619047619053,0.3585385223628522,0.6167850438047557,0.5517857142857143,0.5806451612903226,0.42857142857142855,0.5806451612903226,0.47058823529411764,0.11005692599620498,-0.11540661719233151,0.338412935524244,0.18240063405136184,False,False,False,18,10,4,0.8374999999999999,0.6111111111111112,1.0,0.5714285714285714,0.3076923076923077,0.8333333333333334,0.06505474282638778,0.23017873749758797,0.09270300852760258,0.6066422756912261,False,False
event_strength_multiplier,stage_percentile,>=,0.7500000000000001,2.3932900427300736,2.455063683217864,15363,3248,3850,0.2506020959448024,0.5203411629925854,0.4781734556821791,0.5647501645002441,0.5273383512683255,0.24779220779220779,0.2937192118226601,0.24779220779220779,0.19925301832710848,0.0485391894650993,-0.006064132172427225,0.10812383097559967,0.028428042135663762,0.0004250647051675439,0.00042593560036600713,82,42,26,0.3170731707317073,0.4910714285714286,0.36446208112874784,0.6255347901092582,0.5410714285714285,0.5769230769230769,0.35714285714285715,0.5769230769230769,0.48214285714285715,0.09478021978021972,-0.137393341307815,0.33981450441663125,0.0007357069460867396,False,False,False,18,10,6,0.525,0.25316558441558445,0.8308333333333333,0.16666666666666663,-0.33333333333333337,0.6666666666666666,1.645428389160564e-10,0.28760424151104264,5.210523232341786e-10,0.7127583376578014,False,False
active_condition_below_1pct_count,binary,>=,,0.5,0.5,15363,3248,3176,0.206730456291089,0.4868308939981987,0.46015605593292425,0.5149651461774691,0.4868308939981987,0.190176322418136,0.18596059113300492,0.190176322418136,0.2169524903585788,-0.026776167940442797,-0.08065844908374772,0.030099085781219708,-0.026556287162543057,0.000995130116900547,0.0009966278523592996,82,42,17,0.2073170731707317,0.531547619047619,0.44202646063727724,0.6142357313738892,0.531547619047619,0.5882352941176471,0.23809523809523808,0.5882352941176471,0.49230769230769234,0.09592760180995474,-0.18576958494721646,0.35591546474358976,0.0015779940995688912,False,False,False,18,10,0,,,,,,,0.9995888472874669,0.3337280010675177,0.9999999943822062,0.7926040025353546,False,False
core_sum_to_threshold,stage_percentile,>=,0.6500000000000001,2.144635961692611,2.6319002961667377,15363,3248,5378,0.35006183688081755,0.5224409090631855,0.47643017312746816,0.567273033394566,0.5050753478060216,0.2162513945704723,0.3580665024630542,0.2162513945704723,0.20881321982974463,0.0074381747407276655,-0.04620505120124312,0.06050632144654808,0.02771303247774573,0.0005918036640432572,0.0005928840965583965,82,42,23,0.2804878048780488,0.5874999999999999,0.46542020148462354,0.7101861524645214,0.5297619047619048,0.5652173913043478,0.30952380952380953,0.5652173913043478,0.4915254237288136,0.0736919675755342,-0.16518939393939394,0.3218939393939394,0.000993952750112606,False,False,False,18,10,5,0.575,0.29181318681318685,0.8441558441558442,0.06153846153846154,-0.5333333333333333,0.5714285714285714,0.14544692609977114,0.36228060563027475,0.18841988153833988,0.8023531459048154,False,False
core_top2_share_pct,stage_percentile,<=,0.4,61.571645173291415,58.6530768021394,15363,3248,6143,0.3998567988023173,0.5224654709892268,0.479173436504027,0.5596807012322925,0.5281622876212976,0.23490151391828096,0.4442733990147783,0.23490151391828096,0.1957700650759219,0.03913144884235906,-0.010232428146344378,0.08069617608078278,-0.030020537951082456,0.00019803607166568818,0.00019855383655700083,82,42,33,0.4024390243902439,0.5696428571428571,0.43666322179977635,0.7011232295083315,0.5267857142857143,0.5454545454545454,0.42857142857142855,0.5454545454545454,0.4897959183673469,0.05565862708719849,-0.18400464655985788,0.29560220146617183,0.0003536740213671577,False,False,False,18,10,7,0.65,0.35365384615384615,0.9012345679012346,0.25974025974025977,-0.2222222222222222,0.7149350649350643,3.804002376179263e-09,0.39413838746201457,1.0325149306772284e-08,0.8023531459048154,False,False
core_top1_share_pct,stage_percentile,<=,0.35000000000000003,32.7567514752169,30.703669508847693,15363,3248,5376,0.34993165397383325,0.5243047056228386,0.4810273640357804,0.5676984176288126,0.5240934578109212,0.234375,0.3879310344827586,0.234375,0.19905877640933214,0.035316223590667856,-0.006818964717957868,0.07962222324942514,-0.03256070050479058,5.424030421794509e-05,5.444296259464525e-05,82,42,31,0.3780487804878049,0.5630952380952381,0.43177409261576966,0.6900997425997426,0.5273809523809524,0.5483870967741935,0.40476190476190477,0.5483870967741935,0.49019607843137253,0.05819101834282098,-0.17083493017928725,0.2866085482821584,0.0001070085816515441,False,False,False,18,10,7,0.6499999999999999,0.38885416666666667,0.9012731481481481,0.25974025974025977,-0.17500000000000004,0.6876201923076922,2.038676675808632e-07,0.38874906900553524,4.841857105045501e-07,0.8023531459048154,False,False
breakeven_enabled,binary,>=,,0.5,0.5,15363,3248,6080,0.3957560372323114,0.523539524751509,0.49421111322294053,0.555356588095572,0.5235395247515091,0.23125,0.4328817733990148,0.23125,0.19842723257567596,0.03282276742432405,-0.008093124838140326,0.0754899775443204,0.03930985490173934,1.0944508321110505e-06,1.103624920189497e-06,82,42,29,0.35365853658536583,0.5279761904761905,0.41463110114356133,0.6355544078479005,0.5279761904761905,0.5517241379310345,0.38095238095238093,0.5517241379310345,0.49056603773584906,0.061158100195185416,-0.18579265748852736,0.29635101010101006,2.4194854019538973e-06,False,False,False,18,10,10,0.6625,0.425,0.8831168831168832,0.32499999999999996,-0.15611471861471865,0.75,6.627231058530085e-07,0.382951874090191,1.4528929628315955e-06,0.8023531459048154,False,False
core_top2_to_threshold,stage_percentile,>=,0.6500000000000001,1.3945965069910415,1.6143292116352213,15363,3248,5378,0.35006183688081755,0.5143328304894189,0.4687106151441768,0.5570144571295426,0.5025375913098813,0.21383413908516177,0.354064039408867,0.21383413908516177,0.2101151727591387,0.00371896632602306,-0.0472652600623862,0.052176239653022115,0.016767358776333743,0.037686306870856154,0.03769061981809603,82,42,20,0.24390243902439024,0.5744047619047619,0.4564524456521739,0.700014534883721,0.518452380952381,0.55,0.2619047619047619,0.55,0.5,0.050000000000000044,-0.1864100877192982,0.3039002732240436,0.04774145176958831,False,False,False,18,10,4,0.525,0.21862137862137862,0.8287638287638287,-0.0714285714285714,-0.6666666666666666,0.5309803921568627,0.30200523251228795,0.4481572434097697,0.3825399611822314,0.8808607887709267,False,False
core_weight_hhi,stage_percentile,<=,0.35000000000000003,0.2573528486039132,0.2456893626482091,15363,3248,5375,0.3498665625203411,0.517571218149548,0.4759048368978896,0.5622098166694469,0.5135932789014961,0.2243720930232558,0.3713054187192118,0.2243720930232558,0.20444533440128154,0.019926758621974267,-0.025071130528277374,0.06903833288900617,-0.02342007592925973,0.003695789802064104,0.0036988432941584934,82,42,26,0.3170731707317073,0.531547619047619,0.39437771530794785,0.6601956179250787,0.5166666666666666,0.5384615384615384,0.3333333333333333,0.5384615384615384,0.5,0.038461538461538436,-0.21673930921052637,0.2783086253369272,0.005698218047757679,False,False,False,18,10,6,0.5875,0.29958333333333337,0.875,0.16666666666666663,-0.38502747252747255,0.6164335664335655,0.002144867412505115,0.4657426195985551,0.0034930697860797587,0.8832563392788356,False,False
trailing_activation_profit_pct,stage_percentile,>=,0.6500000000000001,5.5965424512046535,5.999766979176339,15363,3248,5379,0.3501269283343097,0.5404228183723715,0.5149128391336131,0.5653484694406242,0.5300212175396295,0.24000743632645474,0.39747536945812806,0.24000743632645474,0.1960136217948718,0.04399381453158294,0.015453676505256066,0.07377987923835752,0.05643851689612088,2.551823938028318e-12,2.6490517714200477e-12,82,42,32,0.3902439024390244,0.4955357142857143,0.37104146938131316,0.6202103625541125,0.5148809523809523,0.53125,0.40476190476190477,0.53125,0.5,0.03125,-0.18547666988184233,0.24388756537692702,8.88211476299663e-12,True,False,False,18,10,8,0.51875,0.225,0.7749999999999999,-0.09999999999999998,-0.5833333333333334,0.33333333333333337,1.414361551462135e-10,0.48036748276568253,4.742271084314217e-10,0.8832563392788356,False,False
