file_path,source_row_path,size_bytes,git_tracked,deletion_status
data/_system/bulk_diagnostic/swing/logs/AON.log,data/_system/bulk_diagnostic,3952,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AOS.log,data/_system/bulk_diagnostic,6750,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APA.log,data/_system/bulk_diagnostic,3799,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APD.log,data/_system/bulk_diagnostic,8150,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APG.log,data/_system/bulk_diagnostic,8782,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APH.log,data/_system/bulk_diagnostic,8767,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APLD.log,data/_system/bulk_diagnostic,4901,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APO.log,data/_system/bulk_diagnostic,5513,False,DELETED
data/_system/bulk_diagnostic/swing/logs/APTV.log,data/_system/bulk_diagnostic,8751,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ARCC.log,data/_system/bulk_diagnostic,8558,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ARE.log,data/_system/bulk_diagnostic,8284,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ARMK.log,data/_system/bulk_diagnostic,6768,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ARW.log,data/_system/bulk_diagnostic,8765,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ARWR.log,data/_system/bulk_diagnostic,8763,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ASH.log,data/_system/bulk_diagnostic,5969,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ASML.log,data/_system/bulk_diagnostic,8485,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ASND.log,data/_system/bulk_diagnostic,1712,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ASTE.log,data/_system/bulk_diagnostic,8774,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ASX.log,data/_system/bulk_diagnostic,8774,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ATI.log,data/_system/bulk_diagnostic,8636,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ATKR.log,data/_system/bulk_diagnostic,8785,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ATO.log,data/_system/bulk_diagnostic,8741,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ATR.log,data/_system/bulk_diagnostic,6907,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AU.log,data/_system/bulk_diagnostic,8780,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVAV.log,data/_system/bulk_diagnostic,7719,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVB.log,data/_system/bulk_diagnostic,8739,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVGO.log,data/_system/bulk_diagnostic,8955,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVNT.log,data/_system/bulk_diagnostic,8019,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVT.log,data/_system/bulk_diagnostic,8015,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVTR.log,data/_system/bulk_diagnostic,8777,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AVY.log,data/_system/bulk_diagnostic,5649,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AWK.log,data/_system/bulk_diagnostic,8766,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AXON.log,data/_system/bulk_diagnostic,6776,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AXP.log,data/_system/bulk_diagnostic,8765,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AXSM.log,data/_system/bulk_diagnostic,3655,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AXTA.log,data/_system/bulk_diagnostic,5679,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AXTI.log,data/_system/bulk_diagnostic,7851,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AYI.log,data/_system/bulk_diagnostic,5672,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AZN.log,data/_system/bulk_diagnostic,3791,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AZO.log,data/_system/bulk_diagnostic,7363,False,DELETED
data/_system/bulk_diagnostic/swing/logs/B.log,data/_system/bulk_diagnostic,3015,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BA.log,data/_system/bulk_diagnostic,8777,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BABA.log,data/_system/bulk_diagnostic,8781,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BAC.log,data/_system/bulk_diagnostic,8782,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BAK.log,data/_system/bulk_diagnostic,6608,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BALL.log,data/_system/bulk_diagnostic,6747,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BALY.log,data/_system/bulk_diagnostic,2747,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BAP.log,data/_system/bulk_diagnostic,7542,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BAX.log,data/_system/bulk_diagnostic,4262,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BB.log,data/_system/bulk_diagnostic,5988,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBAR.log,data/_system/bulk_diagnostic,3492,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBD.log,data/_system/bulk_diagnostic,8764,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBIO.log,data/_system/bulk_diagnostic,8621,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBVA.log,data/_system/bulk_diagnostic,8789,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBW.log,data/_system/bulk_diagnostic,8787,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBWI.log,data/_system/bulk_diagnostic,6900,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BBY.log,data/_system/bulk_diagnostic,6903,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCC.log,data/_system/bulk_diagnostic,8787,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCE.log,data/_system/bulk_diagnostic,8700,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCH.log,data/_system/bulk_diagnostic,6429,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCO.log,data/_system/bulk_diagnostic,6586,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCRX.log,data/_system/bulk_diagnostic,7524,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BCS.log,data/_system/bulk_diagnostic,8775,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BDN.log,data/_system/bulk_diagnostic,8754,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BDX.log,data/_system/bulk_diagnostic,8766,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BEAM.log,data/_system/bulk_diagnostic,8797,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BEN.log,data/_system/bulk_diagnostic,6129,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BEP.log,data/_system/bulk_diagnostic,8769,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BG.log,data/_system/bulk_diagnostic,7063,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BGS.log,data/_system/bulk_diagnostic,8742,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BHC.log,data/_system/bulk_diagnostic,6439,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BHP.log,data/_system/bulk_diagnostic,7387,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BIDU.log,data/_system/bulk_diagnostic,5973,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BIIB.log,data/_system/bulk_diagnostic,8764,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BILI.log,data/_system/bulk_diagnostic,8782,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BJ.log,data/_system/bulk_diagnostic,6604,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BJRI.log,data/_system/bulk_diagnostic,5831,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BKD.log,data/_system/bulk_diagnostic,7526,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BKNG.log,data/_system/bulk_diagnostic,5829,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BKR.log,data/_system/bulk_diagnostic,8777,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BKU.log,data/_system/bulk_diagnostic,8770,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BL.log,data/_system/bulk_diagnostic,6904,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLD.log,data/_system/bulk_diagnostic,8777,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLDP.log,data/_system/bulk_diagnostic,8758,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLDR.log,data/_system/bulk_diagnostic,8794,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLK.log,data/_system/bulk_diagnostic,6911,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLKB.log,data/_system/bulk_diagnostic,8772,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BLNK.log,data/_system/bulk_diagnostic,6293,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BMI.log,data/_system/bulk_diagnostic,6285,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BMRN.log,data/_system/bulk_diagnostic,4109,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BMY.log,data/_system/bulk_diagnostic,8750,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BNS.log,data/_system/bulk_diagnostic,7683,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BNTX.log,data/_system/bulk_diagnostic,7677,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BORR.log,data/_system/bulk_diagnostic,7714,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BP.log,data/_system/bulk_diagnostic,6886,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BPOP.log,data/_system/bulk_diagnostic,7080,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BR.log,data/_system/bulk_diagnostic,7041,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BRBR.log,data/_system/bulk_diagnostic,8016,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BRK-A.log,data/_system/bulk_diagnostic,7391,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BRK-B.log,data/_system/bulk_diagnostic,6760,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BRO.log,data/_system/bulk_diagnostic,7232,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BRSL.log,data/_system/bulk_diagnostic,8788,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BSX.log,data/_system/bulk_diagnostic,3331,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BTBT.log,data/_system/bulk_diagnostic,5363,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BTI.log,data/_system/bulk_diagnostic,8741,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BUD.log,data/_system/bulk_diagnostic,8779,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BURL.log,data/_system/bulk_diagnostic,6621,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BWA.log,data/_system/bulk_diagnostic,5038,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BWLP.log,data/_system/bulk_diagnostic,8035,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BWXT.log,data/_system/bulk_diagnostic,8785,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BX.log,data/_system/bulk_diagnostic,5200,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BXP.log,data/_system/bulk_diagnostic,8744,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BYND.log,data/_system/bulk_diagnostic,6907,False,DELETED
data/_system/bulk_diagnostic/swing/logs/BYRN.log,data/_system/bulk_diagnostic,5984,False,DELETED
data/_system/bulk_diagnostic/swing/logs/C.log,data/_system/bulk_diagnostic,6261,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CACC.log,data/_system/bulk_diagnostic,7864,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CACI.log,data/_system/bulk_diagnostic,8770,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAE.log,data/_system/bulk_diagnostic,8762,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAG.log,data/_system/bulk_diagnostic,8760,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAH.log,data/_system/bulk_diagnostic,5043,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAKE.log,data/_system/bulk_diagnostic,5522,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAL.log,data/_system/bulk_diagnostic,8766,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CALM.log,data/_system/bulk_diagnostic,4122,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CALX.log,data/_system/bulk_diagnostic,7403,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CALY.log,data/_system/bulk_diagnostic,5971,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAR.log,data/_system/bulk_diagnostic,6617,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CARR.log,data/_system/bulk_diagnostic,8776,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CARS.log,data/_system/bulk_diagnostic,6912,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CASH.log,data/_system/bulk_diagnostic,8004,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CASY.log,data/_system/bulk_diagnostic,7366,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CAT.log,data/_system/bulk_diagnostic,8768,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CB.log,data/_system/bulk_diagnostic,7663,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CBOE.log,data/_system/bulk_diagnostic,6284,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CBRE.log,data/_system/bulk_diagnostic,8781,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CBRL.log,data/_system/bulk_diagnostic,8746,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CBSH.log,data/_system/bulk_diagnostic,5357,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CBZ.log,data/_system/bulk_diagnostic,6604,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CC.log,data/_system/bulk_diagnostic,6901,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCEP.log,data/_system/bulk_diagnostic,7532,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCI.log,data/_system/bulk_diagnostic,8603,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCJ.log,data/_system/bulk_diagnostic,8323,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCK.log,data/_system/bulk_diagnostic,8737,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCL.log,data/_system/bulk_diagnostic,5971,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCO.log,data/_system/bulk_diagnostic,4191,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCS.log,data/_system/bulk_diagnostic,5047,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CCZ.log,data/_system/bulk_diagnostic,8638,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CDE.log,data/_system/bulk_diagnostic,8633,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CDNS.log,data/_system/bulk_diagnostic,8487,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CDW.log,data/_system/bulk_diagnostic,3639,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CELH.log,data/_system/bulk_diagnostic,4112,False,DELETED
data/_system/bulk_diagnostic/swing/logs/CENX.log,data/_system/bulk_diagnostic,8782,False,DELETED
