window,slice_name,slice_value,unvalidated_gene,candidate_n,trade_n,candidate_equal_avg_pnl_pct,candidate_equal_win_rate_pct,candidate_equal_avg_mae_pct,candidate_equal_avg_mfe_pct,candidate_equal_worst_mae_pct,exit_distribution,metric,n_unvalidated,n_validated,difference,bootstrap_ci_low,bootstrap_ci_high
FULL_5Y,exit_strategy,fixed,DIFF_UNVALIDATED_MINUS_VALIDATED,17,,,,,,,,avg_pnl_pct,2.0,15.0,0.02945348492060562,-0.8988806211040109,0.8597324505723523
FULL_5Y,exit_strategy,fixed,DIFF_UNVALIDATED_MINUS_VALIDATED,17,,,,,,,,win_rate_pct,2.0,15.0,3.1844305898082723,-4.873304501273171,10.970394238972462
FULL_5Y,exit_strategy,fixed,DIFF_UNVALIDATED_MINUS_VALIDATED,17,,,,,,,,avg_mae_pct,2.0,15.0,0.7860490459029057,-1.8564395552549782,3.4058766510369707
FULL_5Y,exit_strategy,fixed,DIFF_UNVALIDATED_MINUS_VALIDATED,17,,,,,,,,avg_mfe_pct,2.0,15.0,-1.0697074650019402,-5.001197165754084,2.800884208088517
FULL_5Y,exit_strategy,hybrid,False,32,14431.0,1.4591517691249998,56.20537497547234,-5.849405702236375,8.446127536991314,-73.2888153404,"{""breakeven_stop"": 3149, ""sell_omen"": 54, ""stop_loss"": 3917, ""take_profit"": 1969, ""time_out"": 3061, ""trailing"": 2281}",,,,,,
FULL_5Y,exit_strategy,hybrid,True,1,346.0,2.2334468652445696,56.358381502890175,-7.230231816488164,11.304801849391128,-43.2607915527,"{""stop_loss"": 64, ""take_profit"": 153, ""time_out"": 69, ""trailing"": 60}",,,,,,
FULL_5Y,exit_strategy,hybrid,DIFF_UNVALIDATED_MINUS_VALIDATED,33,,,,,,,,avg_pnl_pct,1.0,32.0,0.7742950961195698,,
FULL_5Y,exit_strategy,hybrid,DIFF_UNVALIDATED_MINUS_VALIDATED,33,,,,,,,,win_rate_pct,1.0,32.0,0.15300652741783694,,
FULL_5Y,exit_strategy,hybrid,DIFF_UNVALIDATED_MINUS_VALIDATED,33,,,,,,,,avg_mae_pct,1.0,32.0,-1.3808261142517892,,
FULL_5Y,exit_strategy,hybrid,DIFF_UNVALIDATED_MINUS_VALIDATED,33,,,,,,,,avg_mfe_pct,1.0,32.0,2.8586743123998133,,
FULL_5Y,exit_strategy,trailing,False,40,19442.0,2.026730226329235,60.66799420601963,-6.386886450232575,9.384394042961523,-81.878475308,"{""breakeven_stop"": 2612, ""sell_omen"": 15, ""time_out"": 10474, ""trailing"": 6341}",,,,,,
