path,entrypoint_category,direct_active_importer_count,direct_active_importers,literal_resources_referenced
engine/live/real_dashboard_api.py,,11,api_server_aftermarket.py|engine/live/real_dashboard_alpaca_exit_orders_patch.py|engine/live/real_dashboard_alpaca_exit_orders_visibility_patch.py|engine/live/real_dashboard_alpaca_history_patch.py|engine/live/real_dashboard_candidate20_patch.py|engine/live/real_dashboard_exit_zone_position_patch.py|engine/live/real_dashboard_holding_days_patch.py|engine/live/real_dashboard_live_chart_patch.py|engine/live/real_dashboard_readability_patch.py|engine/live/real_dashboard_realtime_metrics_patch.py|engine/live/s2_auto_dashboard_api.py,.env|data/_system/live_slots_events.jsonl|data/_system/live_slots_state.json|data/_system/market_state.json|data/_system/real_dashboard_buy_candidates.json|data/_system/real_dashboard_manual_buy_intent.json|data/_system/real_dashboard_market_state.json|data/_system/real_dashboard_news_state.json|data/_system/real_dashboard_rulebooks.json|data/_system/real_dashboard_trades_history.json|data/_system/real_dashboard_universe.json
engine/live/real_dashboard_candidate20_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_exit_zone_position_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_holding_days_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_live_chart_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_readability_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_realtime_metrics_patch.py,,1,api_server_candidate_only.py,
engine/live/regular_hours_gate.py,,6,data/_system/ops/live_candidate_slots.py|engine/live/chart_exit_plan.py|engine/live/elite_exit_policy_lab.py|engine/live/elite_shadow_exit_omen.py|engine/live/elite_shadow_peak_exit_v4.py|engine/live/elite_shadow_trader.py,
engine/live/runner.py,,1,scripts/run_live.py,engine/live/safety
engine/live/s2_auto_config.py,,1,engine/live/s2_auto_dashboard_api.py,data/_system/live_auto_config.json|data/_system/live_auto_events.jsonl|data/_system/live_auto_state.json
engine/live/s2_auto_dashboard_api.py,,1,api_server_aftermarket.py,data/_system/live_auto_config_change_events.jsonl|data/_system/live_auto_state.json|data/_system/live_slots_state.json|data/_system/positions.json|engine/live
engine/live/safety/__init__.py,,4,engine/live/daily_report.py|engine/live/safety/layer.py|engine/live/telegram/bot.py|engine/live/telegram/dashboard.py,
engine/live/safety/layer.py,,3,engine/live/runner.py|engine/live/telegram/bot.py|scripts/run_live.py,
engine/live/safety/state.py,,4,engine/live/daily_report.py|engine/live/safety/layer.py|engine/live/telegram/bot.py|engine/live/telegram/dashboard.py,
engine/live/scheduled_open_buy_queue.py,,1,scripts/run_live.py,data/_system/scheduled_open_buy_queue.json
engine/live/scheduler.py,,1,scripts/run_live.py,
engine/live/telegram/__init__.py,,0,,
engine/live/telegram/bot.py,,1,engine/live/telegram/locked_bot.py,.env
engine/live/telegram/dashboard.py,,1,scripts/run_live.py,
engine/live/telegram/locked_bot.py,,1,scripts/run_live.py,
engine/live/telegram/notifier.py,,5,engine/live/runner.py|engine/live/telegram/bot.py|engine/live/telegram/dashboard.py|scripts/research/run_stage23_batch.py|scripts/run_live.py,.env|engine/live/telegram
engine/live/trading_day.py,,1,engine/live/scheduled_open_buy_queue.py,
engine/live/universe.py,,2,engine/live/runner.py|scripts/run_live.py,data/symbols
engine/live/us_market_calendar.py,,1,engine/live/market_clock.py,.env|data/_system/calendars/us_xnys_2020_2027.json
engine/market/__init__.py,,0,,
engine/market/colab_v32.py,,1,engine/market/context.py,data/_system/llm_news_cache.json|data/_system/market_state.json
engine/market/context.py,,15,data/_system/ops/live_candidate_slots.py|engine/core/feature_lag.py|engine/learning/learner.py|engine/live/central_control.py|engine/live/daily_report.py|engine/live/elite_shadow_trader.py|engine/live/elite_signal_history.py|engine/live/elite_strategy_sim.py|engine/live/position_manager.py|engine/live/runner.py|engine/live/scheduled_open_buy_queue.py|engine/live/telegram/bot.py|engine/pipeline/context.py|engine/strategies/learned_rulebook.py|scripts/export_real_dashboard_buy_candidates.py,
engine/market/ticker_sentiment.py,,5,engine/learning/learner.py|engine/live/elite_shadow_trader.py|engine/pipeline/context.py|engine/strategies/learned_rulebook.py|engine/strategies/news_features.py,data/_system/ticker_news_cache|data/_system/ticker_sentiment
engine/pipeline/context.py,,2,scripts/research/run_stage2.py|scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,data/_system/ml_sell_omen/sell_omen_scores.csv
engine/pipeline/exit_gene.py,,1,scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,
engine/pipeline/scoring.py,,1,engine/pipeline/topn_survivor.py,
engine/pipeline/stage2_gate.py,,1,scripts/research/run_stage2.py,
engine/pipeline/stage3_gate.py,,1,scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,
engine/pipeline/topn_survivor.py,,2,scripts/research/run_stage2.py|scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,
engine/storage/__init__.py,,1,engine/ai/training.py,
engine/storage/repository.py,,1,engine/ai/training.py,data/symbols
engine/strategies/__init__.py,,0,,
engine/strategies/demo_rulebook.py,,5,engine/live/central_control.py|engine/live/runner.py|engine/live/scheduled_open_buy_queue.py|engine/strategies/learned_rulebook.py|scripts/run_live.py,
engine/strategies/evaluator.py,,8,engine/central/signal_collector.py|engine/learning/backtest.py|engine/learning/execution_mode_backtest.py|engine/live/central_control.py|engine/live/elite_shadow_trader.py|engine/live/elite_signal_history.py|engine/live/scheduled_open_buy_queue.py|engine/strategies/learned_rulebook.py,
engine/strategies/exit_simulator.py,,2,engine/learning/backtest.py|engine/learning/execution_mode_backtest.py,
engine/strategies/learned_rulebook.py,,1,scripts/run_live.py,data/_system/seed_patterns.json|data/symbols
engine/strategies/news_features.py,,3,engine/learning/backtest.py|engine/live/elite_shadow_trader.py|engine/strategies/learned_rulebook.py,
engine/strategies/rulebook.py,,23,engine/central/backtester.py|engine/central/signal_collector.py|engine/learning/backtest.py|engine/learning/execution_mode_backtest.py|engine/learning/genetic.py|engine/learning/learner.py|engine/learning/stock_grade.py|engine/live/buy_reconciliation.py|engine/live/central_control.py|engine/live/elite_shadow_trader.py|engine/live/elite_signal_history.py|engine/live/exit_policy_adapter.py|engine/live/position_manager.py|engine/live/real_dashboard_holding_days_patch.py|engine/live/scheduled_open_buy_queue.py|engine/live/universe.py|engine/pipeline/context.py|engine/storage/repository.py|engine/strategies/evaluator.py|engine/strategies/exit_simulator.py,
scripts/build_sentiment_history.py,scheduled_ops,0,,data/_system/news_cache
scripts/dashboard_guard.sh,dashboard_runtime,0,,logs/api_server_candidate_only_8001_guard.err.log|logs/api_server_candidate_only_8001_guard.log|logs/caddy_dashboard_route_reapply.err.log|logs/caddy_dashboard_route_reapply.log|logs/dashboard_guard.log|scripts/ensure_caddy_dashboard_route.py|venv/bin/uvicorn
scripts/ensure_caddy_dashboard_route.py,dashboard_runtime,0,,
scripts/export_real_dashboard_buy_candidates.py,live_candidate_generation,0,,data/_system/live_slots_state.json|data/_system/real_dashboard_buy_candidates.json|exp_batch_stage123_2009_20260616_full|scripts/export_real_dashboard_buy_candidates.py
scripts/live_candidate_slots_guard.sh,scheduled_ops,0,,data/_system/live_slots_state.json|data/_system/ops/live_candidate_slots.py|logs/live_candidate_slots_daemon_guard.err.log|logs/live_candidate_slots_daemon_guard.log|logs/live_candidate_slots_guard.log
scripts/research/build_stage3_live_pool.py,live_candidate_generation,0,,data/_system/central/stage3_live_pool|exp_batch_stage123_2009_20260616_full
scripts/research/run_stage2.py,stage2_stage3_batch,0,,
scripts/research/run_stage23_batch.py,stage2_stage3_batch,0,,scripts/research/run_stage2.py|scripts/research/run_stage3_aggressive.py
scripts/research/run_stage3_aggressive.py,stage2_stage3_batch,0,,scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001
scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,,0,,scripts/research/run_stage3_aggressive.py
scripts/run_elite_strategy_sim.py,,0,,
scripts/run_live.py,live_execution,0,,data/_system/run_bot.pid|scripts/live
