candidate_id,mean_forward_max_return_pct,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
stage3:BB:f1bdfe7f8ad9,8.993910166389616,3.598318943136003,6,0.5,stress,ENTITY,12,BB
stage3:BB:f1bdfe7f8ad9,3.801452661762195,3.29298447373384,11,0.5,train,ENTITY,22,BB
stage3:BB:f1bdfe7f8ad9,3.31070669733653,3.2885506984984825,6,0.5,oos,ENTITY,12,BB
stage3:BB:f1bdfe7f8ad9,5.027986107032218,3.472151561072323,23,0.5,all,ENTITY,46,BB
stage3:BBIO:82c4a7aa36a9,3.6174681317280335,2.137530490077433,9,0.391304347826087,stress,ENTITY,23,BBIO
stage3:BBIO:82c4a7aa36a9,6.621875457913231,4.630059796526076,20,0.5882352941176471,train,ENTITY,34,BBIO
stage3:BBIO:82c4a7aa36a9,3.005670914868015,2.7337804745866,10,0.5,oos,ENTITY,20,BBIO
stage3:BBIO:82c4a7aa36a9,4.785181180469543,3.0154299961121733,39,0.5064935064935064,all,ENTITY,77,BBIO
stage3:BE:b07b2e49fef8,6.194106304727903,5.545665018949264,6,0.75,stress,ENTITY,8,BE
stage3:BE:b07b2e49fef8,4.701527085418419,3.429887340916704,13,0.5416666666666666,train,ENTITY,24,BE
stage3:BE:b07b2e49fef8,9.745156914756121,6.3367735330221215,15,0.8333333333333334,oos,ENTITY,18,BE
stage3:BE:b07b2e49fef8,6.75604649906951,4.96781429326516,34,0.68,all,ENTITY,50,BE
stage3:BELFB:b031f5add884,6.478135490239227,3.8412343691514694,11,0.7857142857142857,stress,ENTITY,14,BELFB
stage3:BELFB:b031f5add884,4.061633484231599,2.607735481051443,11,0.44,train,ENTITY,25,BELFB
stage3:BELFB:b031f5add884,4.029125261795887,3.6992496555849352,13,0.5909090909090909,oos,ENTITY,22,BELFB
stage3:BELFB:b031f5add884,4.604516225059815,3.3162264315750978,35,0.5737704918032787,all,ENTITY,61,BELFB
stage3:BIDU:926c6f7918c9,4.296660422883303,3.109675651544941,7,0.5,stress,ENTITY,14,BIDU
stage3:BIDU:926c6f7918c9,2.7808514460802547,2.2134711942212837,6,0.3157894736842105,train,ENTITY,19,BIDU
stage3:BIDU:926c6f7918c9,1.158137010111315,1.0227534981453346,1,0.1,oos,ENTITY,10,BIDU
stage3:BIDU:926c6f7918c9,2.8969951976047503,1.8371931275507736,14,0.32558139534883723,all,ENTITY,43,BIDU
stage3:BMA:0c978464f9dd,3.7385117818812508,2.5935024531407724,5,0.4166666666666667,stress,ENTITY,12,BMA
stage3:BMA:0c978464f9dd,3.430067613554344,3.6958321922192505,11,0.5789473684210527,train,ENTITY,19,BMA
stage3:BMA:0c978464f9dd,2.734127930898018,2.349618715021573,3,0.3,oos,ENTITY,10,BMA
stage3:BMA:0c978464f9dd,3.3506025694899453,2.6451184381547144,19,0.4634146341463415,all,ENTITY,41,BMA
stage3:BN:d264957fe5f6,1.7299391970641544,1.8046406082164346,3,0.17647058823529413,stress,ENTITY,17,BN
stage3:BN:d264957fe5f6,1.5211264043538728,1.4401279898171304,5,0.19230769230769232,train,ENTITY,26,BN
stage3:BN:d264957fe5f6,1.749289680098326,1.5534285144378157,3,0.21428571428571427,oos,ENTITY,14,BN
stage3:BN:d264957fe5f6,1.6394440067485594,1.4803834631888169,11,0.19298245614035087,all,ENTITY,57,BN
stage3:BTU:ecfcb41f1be2,6.712867033832994,6.002566189590053,10,0.7142857142857143,stress,ENTITY,14,BTU
stage3:BTU:ecfcb41f1be2,2.8783841328370356,2.1216693648643536,5,0.29411764705882354,train,ENTITY,17,BTU
stage3:BTU:ecfcb41f1be2,4.949090255595283,3.3310409250542627,6,0.6,oos,ENTITY,10,BTU
stage3:BTU:ecfcb41f1be2,4.692770031410838,3.0159334517683822,21,0.5121951219512195,all,ENTITY,41,BTU
stage3:BWXT:f195725cb792,1.715321471875364,1.1941501703535806,3,0.17647058823529413,stress,ENTITY,17,BWXT
stage3:BWXT:f195725cb792,1.9714132232784056,1.755961047383503,6,0.25,train,ENTITY,24,BWXT
stage3:BWXT:f195725cb792,4.8198072146559685,2.5559557840032943,6,0.42857142857142855,oos,ENTITY,14,BWXT
stage3:BWXT:f195725cb792,2.6173033342863006,1.7537249228428475,15,0.2727272727272727,all,ENTITY,55,BWXT
stage3:C:8d6430f3dfbc,2.256048344839708,1.3834225361281316,7,0.35,stress,ENTITY,20,C
stage3:C:8d6430f3dfbc,1.1890481810040816,0.8405158983258332,5,0.16129032258064516,train,ENTITY,31,C
stage3:C:8d6430f3dfbc,1.2312952481589812,1.5091353255138995,2,0.14285714285714285,oos,ENTITY,14,C
stage3:C:8d6430f3dfbc,1.5264552920330219,1.127595852476948,14,0.2153846153846154,all,ENTITY,65,C
stage3:CAPR:a51d615a0ff1,5.301580350177369,4.575926805441444,16,0.6153846153846154,stress,ENTITY,26,CAPR
stage3:CAPR:a51d615a0ff1,5.132075304539358,3.2867658171254366,25,0.5434782608695652,train,ENTITY,46,CAPR
stage3:CAPR:a51d615a0ff1,4.647730980131768,3.3936303496350906,13,0.5909090909090909,oos,ENTITY,22,CAPR
stage3:CAPR:a51d615a0ff1,5.065602496556605,3.484723599481354,54,0.574468085106383,all,ENTITY,94,CAPR
stage3:CBRE:30fdb7f6db1e,2.3583797026209514,2.2701362246961176,4,0.23529411764705882,stress,ENTITY,17,CBRE
stage3:CBRE:30fdb7f6db1e,1.5983775714844175,1.5747639095800348,4,0.16666666666666666,train,ENTITY,24,CBRE
stage3:CBRE:30fdb7f6db1e,1.006709455629561,0.8272092675169151,1,0.06666666666666667,oos,ENTITY,15,CBRE
stage3:CBRE:30fdb7f6db1e,1.6706099731183144,1.5945548549757715,9,0.16071428571428573,all,ENTITY,56,CBRE
stage3:CBRL:677767a0b6a9,2.8627274945932957,2.0380133229474184,10,0.45454545454545453,stress,ENTITY,22,CBRL
stage3:CBRL:677767a0b6a9,2.9036573505977055,2.599553735275406,14,0.45161290322580644,train,ENTITY,31,CBRL
stage3:CBRL:677767a0b6a9,4.155649486012526,2.181148066334071,6,0.4,oos,ENTITY,15,CBRL
stage3:CBRL:677767a0b6a9,3.1665900741142528,2.4222681355649645,30,0.4411764705882353,all,ENTITY,68,CBRL
stage3:CC:520ee91feeea,3.305457046418687,2.598895996022055,10,0.47619047619047616,stress,ENTITY,21,CC
stage3:CC:520ee91feeea,2.6887977364474263,2.7435764014215325,12,0.4444444444444444,train,ENTITY,27,CC
stage3:CC:520ee91feeea,5.155766186006355,5.115902301671205,13,0.7647058823529411,oos,ENTITY,17,CC
stage3:CC:520ee91feeea,3.5332332618612456,3.2542053859522024,35,0.5384615384615384,all,ENTITY,65,CC
stage3:CIEN:2ed675d30868,2.158269687215968,1.7358456017836144,4,0.23529411764705882,stress,ENTITY,17,CIEN
stage3:CIEN:2ed675d30868,1.5005551030068114,1.8586450770099683,5,0.16129032258064516,train,ENTITY,31,CIEN
stage3:CIEN:2ed675d30868,3.6842072081843265,2.7926042282785835,7,0.4666666666666667,oos,ENTITY,15,CIEN
stage3:CIEN:2ed675d30868,2.197950809502341,2.0152295766992845,16,0.25396825396825395,all,ENTITY,63,CIEN
stage3:CIGI:2067519c6762,1.9603338232393566,1.5713023102355894,5,0.35714285714285715,stress,ENTITY,14,CIGI
stage3:CIGI:2067519c6762,1.4523498184272823,1.057464495546534,4,0.19047619047619047,train,ENTITY,21,CIGI
stage3:CIGI:2067519c6762,2.266689952017006,2.2669439849574147,4,0.36363636363636365,oos,ENTITY,11,CIGI
stage3:CIGI:2067519c6762,1.8016871561850218,1.522857066107275,13,0.2826086956521739,all,ENTITY,46,CIGI
stage3:CLDX:99264f63b69d,4.7718056910177955,4.058391074172485,11,0.7857142857142857,stress,ENTITY,14,CLDX
stage3:CLDX:99264f63b69d,5.143387448692014,4.926288621152897,12,0.631578947368421,train,ENTITY,19,CLDX
stage3:CLDX:99264f63b69d,5.211876333547182,4.787494194402397,9,0.6428571428571429,oos,ENTITY,14,CLDX
stage3:CLDX:99264f63b69d,5.053104465299105,4.713046771991358,32,0.6808510638297872,all,ENTITY,47,CLDX
stage3:CLF:869ed9e90afb,5.282250682825607,5.370000392236507,6,0.6,stress,ENTITY,10,CLF
stage3:CLF:869ed9e90afb,2.5075562143334182,2.0000012715657656,3,0.2727272727272727,train,ENTITY,11,CLF
stage3:CLF:869ed9e90afb,4.222251445360059,3.8428546584715395,3,0.5,oos,ENTITY,6,CLF
stage3:CLF:869ed9e90afb,3.9162642169660753,2.8436036522381025,12,0.4444444444444444,all,ENTITY,27,CLF
stage3:COHR:10ef1bf6b0d1,3.840864266463086,2.244830688311872,6,0.375,stress,ENTITY,16,COHR
stage3:COHR:10ef1bf6b0d1,4.712598662565604,3.70159247322841,15,0.6,train,ENTITY,25,COHR
stage3:COHR:10ef1bf6b0d1,6.264360426688942,4.894078437565863,12,0.7058823529411765,oos,ENTITY,17,COHR
stage3:COHR:10ef1bf6b0d1,4.926946932435543,3.880256770585233,33,0.5689655172413793,all,ENTITY,58,COHR
stage3:CRS:8695c9ce3320,3.860335186375276,3.75791811871784,12,0.5454545454545454,stress,ENTITY,22,CRS
stage3:CRS:8695c9ce3320,2.4190480369576406,2.2212350468157727,8,0.24242424242424243,train,ENTITY,33,CRS
stage3:CRS:8695c9ce3320,4.256836616729154,2.9610624568581434,7,0.4666666666666667,oos,ENTITY,15,CRS
stage3:CRS:8695c9ce3320,3.26583583672565,2.4446101458251324,27,0.38571428571428573,all,ENTITY,70,CRS
stage3:CSIQ:030ce2015af8,5.663975043696363,5.519376059835279,15,0.6521739130434783,stress,ENTITY,23,CSIQ
stage3:CSIQ:030ce2015af8,2.0048394884723004,1.92878986271523,9,0.2571428571428571,train,ENTITY,35,CSIQ
stage3:CSIQ:030ce2015af8,5.829880188000721,2.836884336135559,9,0.47368421052631576,oos,ENTITY,19,CSIQ
stage3:CSIQ:030ce2015af8,4.041669242513773,2.470776621297044,33,0.42857142857142855,all,ENTITY,77,CSIQ
stage3:CVNA:8d8594e95b89,10.333461285233811,3.867762696833954,14,0.6363636363636364,stress,ENTITY,22,CVNA
stage3:CVNA:8d8594e95b89,15.229336321030335,7.22338845318744,32,0.8888888888888888,train,ENTITY,36,CVNA
stage3:CVNA:8d8594e95b89,3.1905358716166123,2.8066688708216048,13,0.5,oos,ENTITY,26,CVNA
stage3:CVNA:8d8594e95b89,10.220787958265094,4.6476562235374,59,0.7023809523809523,all,ENTITY,84,CVNA
stage3:CW:81ce9154b422,1.2861185996662527,0.8485953686895087,5,0.3333333333333333,stress,ENTITY,15,CW
stage3:CW:81ce9154b422,1.4916635769539681,1.693756968152993,0,0.0,train,ENTITY,23,CW
stage3:CW:81ce9154b422,2.7658238041832144,2.3548704902579543,6,0.42857142857142855,oos,ENTITY,14,CW
stage3:CW:81ce9154b422,1.7754148946826933,1.5264901440864675,11,0.21153846153846154,all,ENTITY,52,CW
stage3:DB:3fddd15661db,1.7283914645905978,1.5814780712690935,5,0.3125,stress,ENTITY,16,DB
stage3:DB:3fddd15661db,1.2991820508537097,1.2945901932120418,4,0.16666666666666666,train,ENTITY,24,DB
stage3:DB:3fddd15661db,1.794041239212328,1.3509728634829576,4,0.26666666666666666,oos,ENTITY,15,DB
stage3:DB:3fddd15661db,1.559004568038609,1.3509728634829576,13,0.23636363636363636,all,ENTITY,55,DB
stage3:DBRG:5eba9682ac09,4.061442144040726,3.0779740956744073,12,0.5217391304347826,stress,ENTITY,23,DBRG
stage3:DBRG:5eba9682ac09,3.104162508302097,2.549021899448123,13,0.48148148148148145,train,ENTITY,27,DBRG
