,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score,atr14_pct,atr14_pct_chg1,true_range_d1_pct,intraday_range_d1_pct,range_vs_atr14,range_vs_range5,range_vs_range20,mean_range3_pct,mean_range5_pct,realized_vol5_pct,realized_vol10_pct,realized_vol20_pct,realized_vol5_vs20,bb_width20_pct,bb_width20_chg1_pctpoint,volume_ratio5_prior,volume_ratio10_prior,volume_ratio20_prior,volume_ratio5_inclusive,volume_chg1_pct,volume_chg3_pct,volume_ma5_vs20_ratio,volume_z20_prior,volume_surge_1_5,volume_surge_2_0
realized_vol20_pct,0.14728300,0.14183301,0.14055559,0.13236109,0.13293747,0.31471720,-0.01127513,0.02278796,-0.03291758,0.29958691,0.52116268,0.43056102,0.50655186,0.00647499,0.37429233,0.37985516,0.02357834,-0.00735009,-0.01283793,0.46356088,0.50001903,0.57164907,0.75707346,1.00000000,-0.05791184,0.72658508,-0.00959859,0.03373184,0.03306698,0.04343153,-0.01390967,0.05215752,0.03498960,0.00603162,0.03249755,0.01505212,0.03682460
realized_vol5_vs20,0.03925283,0.04077891,0.04575158,0.05148325,0.04452609,0.08625714,0.00517288,-0.02070915,0.03509527,0.14124343,0.27425336,0.25236707,0.00999211,0.15263951,0.23220053,0.19309171,0.26771847,0.09184823,0.31496504,0.23406319,0.23407829,0.37655255,0.11451237,-0.05791184,1.00000000,-0.06278423,0.15759461,0.09684760,0.20349417,0.25672499,0.02331700,0.03748620,0.04295637,0.49891416,0.22299769,0.07103053,0.09564185
bb_width20_pct,0.15505733,0.15234608,0.14504649,0.13007468,0.11080459,0.31450287,0.02078239,-0.00466487,0.00342944,0.33580779,0.49520311,0.43865479,0.60311390,0.00292007,0.42640957,0.44938321,0.03937369,-0.03249097,-0.01358740,0.55878342,0.60654151,0.54703940,0.69530631,0.72658508,-0.06278423,1.00000000,0.09337231,-0.00678515,-0.00442426,0.04296638,-0.04890544,0.01872016,-0.00177965,0.08693603,0.02336707,-0.00849214,0.02061880
bb_width20_chg1_pctpoint,0.01226274,0.03307252,0.07944589,0.10048374,0.52151714,0.41505207,0.06237173,-0.07413713,0.07952432,0.08086973,0.37627207,0.07021582,0.00422243,0.06088785,0.30422536,0.20572245,0.20568117,0.10327419,0.19890489,0.15484254,0.11407387,0.34453241,0.19839396,-0.00959859,0.15759461,0.09337231,1.00000000,0.26762354,0.33857772,0.41010137,0.15045667,0.24284967,0.23649522,0.28974356,0.28302867,0.10265382,0.13607032
volume_ratio5_prior,0.00582263,-0.00936177,-0.00252654,0.01755134,0.17299006,0.10770897,0.02118496,-0.13264647,0.00743737,0.08393431,0.10942586,0.02079966,0.01592431,0.33746961,0.48260585,0.35894269,0.47388416,0.53170350,0.49755024,0.13814854,0.04528293,0.11682143,0.05146138,0.03373184,0.09684760,-0.00678515,0.26762354,1.00000000,0.94436254,0.88067047,0.90786699,0.81953297,0.95821312,0.15421304,0.85830230,0.65485434,0.64079280
volume_ratio10_prior,0.01869633,0.00107558,0.00703164,0.02241926,0.18754764,0.13507320,0.03090962,-0.11697972,0.00381507,0.13416537,0.15500278,0.06531394,0.01878084,0.35411077,0.51032302,0.38018027,0.49324799,0.48384897,0.52692159,0.19155880,0.10305502,0.17626116,0.07235895,0.03306698,0.20349417,-0.00442426,0.33857772,0.94436254,1.00000000,0.95549785,0.82596809,0.75169701,0.88991038,0.35800307,0.90960607,0.60431613,0.61652925
volume_ratio20_prior,0.02390508,0.00809147,0.01485714,0.02881556,0.22178620,0.16720685,0.02625452,-0.10402676,0.00069753,0.16025190,0.20045938,0.09191294,0.02522921,0.33503377,0.51407003,0.38918609,0.49059518,0.43435374,0.53202066,0.22667404,0.14593850,0.22761428,0.12686107,0.04343153,0.25672499,0.04296638,0.41010137,0.88067047,0.95549785,1.00000000,0.75382323,0.70727505,0.83181256,0.50509269,0.93487876,0.55721428,0.58997451
volume_ratio5_inclusive,-0.00714598,-0.02170517,-0.01942471,0.01402139,0.09288524,0.03864825,0.01609304,-0.16295939,0.00494107,0.03449069,0.01557712,-0.02781326,-0.01079992,0.31380414,0.42487951,0.34058951,0.50085482,0.57387013,0.51112378,0.09316017,-0.00888321,0.01136033,-0.01757141,-0.01390967,0.02331700,-0.04890544,0.15045667,0.90786699,0.82596809,0.75382323,1.00000000,0.74971184,0.90845509,0.01703140,0.77058664,0.68827563,0.53365012
volume_chg1_pct,0.01571135,0.00430605,-0.00899511,-0.01193608,0.18319097,0.10888311,0.01338013,-0.06954204,0.00107345,0.04548031,0.10719563,0.02189361,0.01713723,0.27260807,0.40103945,0.29440550,0.37510377,0.42707809,0.39403406,0.05000982,0.02387642,0.10745175,0.07206121,0.05215752,0.03748620,0.01872016,0.24284967,0.81953297,0.75169701,0.70727505,0.74971184,1.00000000,0.87721881,0.06794844,0.69166985,0.54815326,0.54440086
volume_chg3_pct,0.01081310,-0.01649872,-0.01290662,0.00656496,0.15646626,0.08782023,0.01491032,-0.12049020,-0.00139742,0.06056753,0.08527214,0.00677852,0.01626434,0.32473304,0.45885231,0.33835560,0.44677195,0.51324078,0.47035228,0.09112223,0.02023805,0.08862835,0.05045684,0.03498960,0.04295637,-0.00177965,0.23649522,0.95821312,0.88991038,0.83181256,0.90845509,0.87721881,1.00000000,0.07351003,0.81780405,0.65664637,0.63493419
volume_ma5_vs20_ratio,0.07106295,0.06452847,0.06147393,0.05932158,0.04752955,0.14051208,0.02833625,-0.00505815,0.00521650,0.23479713,0.25249951,0.24540488,0.03718312,0.15883325,0.24109402,0.21483130,0.24684795,0.04277725,0.29094834,0.28016291,0.28239466,0.31577813,0.16446503,0.00603162,0.49891416,0.08693603,0.28974356,0.15421304,0.35800307,0.50509269,0.01703140,0.06794844,0.07351003,1.00000000,0.44206511,0.11268445,0.16034987
volume_z20_prior,0.02382637,0.00365127,0.00246589,0.02127704,0.12800685,0.09942667,0.02309149,-0.10324805,-0.00640358,0.13336389,0.12793421,0.07242636,0.01618866,0.32556660,0.46116404,0.35435586,0.48233918,0.44943628,0.52429473,0.18569184,0.11451274,0.15368495,0.08330583,0.03249755,0.22299769,0.02336707,0.28302867,0.85830230,0.90960607,0.93487876,0.77058664,0.69166985,0.81780405,0.44206511,1.00000000,0.58728090,0.58914036
volume_surge_1_5,0.00833594,-0.00055952,-0.00584161,0.01474409,0.06552856,0.04228621,0.02728992,-0.11114522,0.01751038,0.04768364,0.04330873,0.01608661,0.01470176,0.22389408,0.32091853,0.25369022,0.35484953,0.40923036,0.37434579,0.08518581,0.02846623,0.04740322,0.02043754,0.01505212,0.07103053,-0.00849214,0.10265382,0.65485434,0.60431613,0.55721428,0.68827563,0.54815326,0.65664637,0.11268445,0.58728090,1.00000000,0.45920636
volume_surge_2_0,0.00666448,0.00126502,-0.00565008,0.01579068,0.06962491,0.04717395,0.01973699,-0.05986926,0.00280150,0.07887704,0.07409096,0.03681004,0.03783118,0.21846535,0.32059274,0.22511342,0.27019797,0.31769118,0.30723576,0.09285174,0.05333673,0.09070889,0.05621934,0.03682460,0.09564185,0.02061880,0.13607032,0.64079280,0.61652925,0.58997451,0.53365012,0.54440086,0.63493419,0.16034987,0.58914036,0.45920636,1.00000000
